ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	score
WP_021495233.1	WP_025810731.1	gene-ACSAL1_RS16135	-4.530910339759023	gene-ACZ0AN_RS18290	-6.877538643895273	conserved_down		polysaccharide biosynthesis protein		polysaccharide biosynthesis protein	K19421	polysaccharide biosynthesis protein EpsC	biofilm_cell_envelope	11.408448983654296
WP_014417349.1	WP_023856571.1	gene-ACSAL1_RS05295	-9.320798621267242	gene-ACZ0AN_RS05775	-2.04276053453538	conserved_down		S8 family peptidase		S8 family peptidase	K01342	subtilisin [EC:3.4.21.62]	unclassified	11.363559155802623
WP_209387611.1	WP_095292166.1	gene-ACSAL1_RS16110	-4.436791661627002	gene-ACZ0AN_RS18265	-6.703226085229215	conserved_down		glycosyltransferase family 2 protein		glycosyltransferase family 2 protein	K19425	glycosyltransferase EpsH [EC:2.4.-.-]	biofilm_cell_envelope	11.140017746856216
WP_209387430.1	WP_145645271.1	gene-ACSAL1_RS11700	-5.414827015524714	gene-ACZ0AN_RS13255	-5.237453988355179	conserved_down	tapA	amyloid fiber anchoring/assembly protein TapA	tapA	amyloid fiber anchoring/assembly protein TapA	K19433	TasA anchoring/assembly protein	biofilm_cell_envelope	10.652281003879892
WP_209387470.1	WP_059231350.1	gene-ACSAL1_RS12715	-9.210568388454638	gene-ACZ0AN_RS14775	-1.4126064098139175	conserved_down	nadA	quinolinate synthase NadA	nadA	quinolinate synthase NadA	K03517	quinolinate synthase [EC:2.5.1.72]	unclassified	10.623174798268556
WP_209387469.1	WP_026579141.1	gene-ACSAL1_RS12710	-8.993120230055487	gene-ACZ0AN_RS14770	-1.5809922094879618	conserved_down	safA	SafA/ExsA family spore coat assembly protein	safA	SafA/ExsA family spore coat assembly protein	K06370	morphogenetic protein associated with SpoVID	unclassified	10.574112439543448
WP_017419343.1	WP_145645580.1	gene-ACSAL1_RS01460	-7.353782609972714	gene-ACZ0AN_RS12620	-2.780709877820229	conserved_down	estA	lipase EstA		esterase/lipase family protein	K01046	triacylglycerol lipase [EC:3.1.1.3]	unclassified	10.134492487792944
WP_072177127.1	WP_003180601.1	gene-ACSAL1_RS05770	-6.248678981085014	gene-ACZ0AN_RS06425	-3.6244983938427335	conserved_down	opp4C	oligopeptide ABC transporter permease	opp4C	oligopeptide ABC transporter permease	K02034	peptide/nickel transport system permease protein	transport	9.873177374927748
WP_017418586.1	WP_023855487.1	gene-ACSAL1_RS18425	-7.831193880278129	gene-ACZ0AN_RS15450	-2.0062871553606927	conserved_down	bglS	beta-glucanase	bglS	beta-glucanase	K01216	licheninase [EC:3.2.1.73]	glycine_betaine_choline	9.837481035638822
WP_209388309.1	WP_463315700.1	gene-ACSAL1_RS09485	-6.366259052420619	gene-ACZ0AN_RS10635	-3.352403291410545	conserved_down		non-ribosomal peptide synthetase		non-ribosomal peptide synthetase	K15667	plipastatin/fengycin lipopeptide synthetase D	unclassified	9.718662343831165
WP_007613932.1	WP_025810730.1	gene-ACSAL1_RS16145	-3.1654835611560204	gene-ACZ0AN_RS18300	-6.504156675798009	conserved_down		YveK family protein		YveK family protein	K19420	protein tyrosine kinase modulator	unclassified	9.669640236954029
WP_209388296.1	WP_044803292.1	gene-ACSAL1_RS09340	-3.931865011062726	gene-ACZ0AN_RS17980	-5.604333991616759	conserved_down	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	K15924	glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]	glycine_betaine_choline	9.536199002679485
WP_007407578.1	WP_145654112.1	gene-ACSAL1_RS17230	-4.6499084786959255	gene-ACZ0AN_RS02960	-4.830026554918872	conserved_down	xynA	endo-1%2C4-beta-xylanase XynA		glycoside hydrolase family 11 protein			glycine_betaine_choline	9.479935033614797
WP_003151973.1	WP_020452200.1	gene-ACSAL1_RS14950	-6.050197136585435	gene-ACZ0AN_RS13440	-3.2836979957405035	conserved_down		uberolysin/carnocyclin family circular bacteriocin		uberolysin/carnocyclin family circular bacteriocin			unclassified	9.333895132325939
WP_209388308.1	WP_463315699.1	gene-ACSAL1_RS09480	-5.3843961651292	gene-ACZ0AN_RS10630	-3.901893420772362	conserved_down		non-ribosomal peptide synthetase		non-ribosomal peptide synthetase	K15668	plipastatin/fengycin lipopeptide synthetase E	unclassified	9.286289585901562
WP_174747328.1	WP_020453026.1	gene-ACSAL1_RS16115	-2.4848991690101414	gene-ACZ0AN_RS18270	-6.613513258975818	conserved_down	epsG	biofilm exopolysaccharide biosynthesis protein EpsG		EpsG family protein	K19419	transmembrane protein EpsG	biofilm_cell_envelope	9.09841242798596
WP_021495090.1	WP_023855267.1	gene-ACSAL1_RS02315	-3.988787787314784	gene-ACZ0AN_RS13950	-5.02747835785178	conserved_down		hypothetical protein		hypothetical protein			unclassified	9.016266145166563
WP_481748176.1	WP_223254842.1	gene-ACSAL1_RS06630	-6.915074070503004	gene-ACZ0AN_RS07270	-2.080417057175623	conserved_down		S66 peptidase family protein		S66 peptidase family protein	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	unclassified	8.995491127678626
WP_209388152.1	WP_003180955.1	gene-ACSAL1_RS06635	-7.206458364625488	gene-ACZ0AN_RS07275	-1.6569289285964044	conserved_down		mandelate racemase/muconate lactonizing enzyme family protein		mandelate racemase/muconate lactonizing enzyme family protein	K19802	L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.25]	transport	8.863387293221892
WP_025649280.1	WP_079289258.1	gene-ACSAL1_RS15620	-4.379155678467193	gene-ACZ0AN_RS11285	-4.448011081301876	conserved_down		hypothetical protein		stress response protein YvgO			unclassified	8.827166759769067
WP_209387859.1	WP_025811956.1	gene-ACSAL1_RS01600	-5.210545311313145	gene-ACZ0AN_RS03425	-3.586727143568864	conserved_down	amyE	alpha-amylase	amyS	alpha-amylase			unclassified	8.797272454882009
WP_209388151.1	WP_023856766.1	gene-ACSAL1_RS06625	-7.251040954502982	gene-ACZ0AN_RS07265	-1.4431052967788969	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein	K16199	dipeptide transport system substrate-binding protein	transport	8.694146251281879
WP_209388153.1	WP_003180957.1	gene-ACSAL1_RS06640	-6.497489586934412	gene-ACZ0AN_RS07280	-1.961174107041807	conserved_down		C40 family peptidase		C40 family peptidase	K20742	gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]	unclassified	8.458663693976218
WP_003155168.1	WP_020453458.1	gene-ACSAL1_RS05375	-3.5908020030237653	gene-ACZ0AN_RS20590	-4.843089826321791	conserved_down		excalibur calcium-binding domain-containing protein		excalibur calcium-binding domain-containing protein			unclassified	8.433891829345557
WP_245207605.1	WP_463315643.1	gene-ACSAL1_RS03830	-4.011225191514354	gene-ACZ0AN_RS04225	-4.277904762537642	conserved_down		exosporium glycoprotein BclB-related protein		NTTRR-F1 domain			unclassified	8.289129954051997
WP_209387781.1	WP_035338110.1	gene-ACSAL1_RS18980	-4.417101689427855	gene-ACZ0AN_RS21435	-3.868319402304567	conserved_down		GNAT family N-acetyltransferase		GNAT family N-acetyltransferase			unclassified	8.285421091732422
WP_003155777.1	WP_020450431.1	gene-ACSAL1_RS03370	-2.8572146915143524	gene-ACZ0AN_RS03595	-5.242249910141628	conserved_down		Fur-regulated basic protein FbpA		hypothetical protein			unclassified	8.099464601655981
