ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	score
WP_003151337.1	WP_023857157.1	gene-ACSAL1_RS16880	4.862568613443718	gene-ACZ0AN_RS19045	2.7795226158647184	conserved_up	pgsB	poly-gamma-glutamate synthase PgsB	pgsB	poly-gamma-glutamate synthase PgsB	K01932	gamma-polyglutamate synthase [EC:6.3.2.-]	poly_gamma_glutamate;transport	7.642091229308436
WP_017417565.1	WP_026580390.1	gene-ACSAL1_RS06155	-4.056581530462951	gene-ACZ0AN_RS21215	-3.237853218681953	conserved_down		glycoside hydrolase family 53 protein		arabinogalactan endo-1%2C4-beta-galactosidase	K01224	arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]	glycine_betaine_choline	7.294434749144904
WP_007410036.1	WP_020452927.1	gene-ACSAL1_RS15555	4.5809893873153245	gene-ACZ0AN_RS17690	2.407085786537572	conserved_up		amino acid permease		amino acid permease	K03758	arginine:ornithine antiporter / lysine permease	sodium_homeostasis;transport	6.988075173852897
WP_007408877.1	WP_043054555.1	gene-ACSAL1_RS03260	2.084538075393253	gene-ACZ0AN_RS03495	-4.802351007364711	opposite		RlpA-like double-psi beta-barrel domain-containing protein		RlpA-like double-psi beta-barrel domain-containing protein			glycine_betaine_choline	6.886889082757964
WP_014417297.1	WP_043054059.1	gene-ACSAL1_RS04885	2.8475721498146105	gene-ACZ0AN_RS02430	3.9548439060205247	conserved_up	bcaP	branched-chain amino acid transporter BcaP		APC family permease	K03294	basic amino acid/polyamine antiporter, APA family	sodium_homeostasis;transport	6.802416055835135
WP_003151340.1	WP_003185831.1	gene-ACSAL1_RS16875	4.035579409374109	gene-ACZ0AN_RS19040	2.6565147089535497	conserved_up	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	K22116	gamma-polyglutamate biosynthesis protein CapC	poly_gamma_glutamate;transport	6.692094118327659
WP_007613482.1	WP_025809768.1	gene-ACSAL1_RS14880	4.0451280043721525	gene-ACZ0AN_RS17015	2.463485757789753	conserved_up		Na+/H+ antiporter NhaC family protein		Na+/H+ antiporter family protein	K07084	putative amino acid transporter	sodium_homeostasis	6.508613762161906
WP_209387437.1	WP_025811788.1	gene-ACSAL1_RS11815	2.5663934508619137	gene-ACZ0AN_RS05425	3.607973905812304	conserved_up	nhaC	Na+/H+ antiporter NhaC	nhaC	Na+/H+ antiporter NhaC	K03315	Na+:H+ antiporter, NhaC family	sodium_homeostasis	6.174367356674217
WP_007408511.1	WP_020450572.1	gene-ACSAL1_RS04040	1.5621962991962208	gene-ACZ0AN_RS04335	4.221194628906001	conserved_up	cax	calcium/proton exchanger	cax	calcium/proton exchanger	K07300	Ca2+:H+ antiporter	sodium_homeostasis	5.7833909281022216
WP_012118784.1	WP_095291331.1	gene-ACSAL1_RS18340	2.1270939898983303	gene-ACZ0AN_RS20580	3.6371951882411935	conserved_up	cimH	citrate/malate transporter CimH	cimH	citrate/malate transporter CimH	K11616	malate:Na+ symporter	sodium_homeostasis;transport	5.764289178139524
WP_003155217.1	WP_463315658.1	gene-ACSAL1_RS05240	-1.2965613643898437	gene-ACZ0AN_RS05710	-4.368438428530614	conserved_down	fabHB	beta-ketoacyl-ACP synthase III FabHB		beta-ketoacyl-ACP synthase 3	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	glycine_betaine_choline	5.664999792920458
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite	gbsR	transcriptional regulator GbsR	cudC	choline uptake/conversion transcriptional regulator CudC	K22109	HTH-type transcriptional regulator, glycine betaine synthesis regulator	glycine_betaine_choline;regulation	5.5100352475365
WP_012118473.1	WP_020452989.1	gene-ACSAL1_RS15850	4.497788556616006	gene-ACZ0AN_RS18065	-1.012236443237037	opposite	opuCD	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCD		ABC transporter permease	K05846	osmoprotectant transport system permease protein	glycine_betaine_choline;transport	5.510024999853043
WP_209387554.1	WP_020453235.1	gene-ACSAL1_RS14865	1.5416771575832595	gene-ACZ0AN_RS19395	-3.957512289066453	opposite		alpha/beta hydrolase		alpha/beta hydrolase	K07017	ferri-bacillibactin esterase [EC:3.1.-.-]	glycine_betaine_choline	5.499189446649712
WP_209387587.1	WP_035337713.1	gene-ACSAL1_RS15770	1.9849333824227184	gene-ACZ0AN_RS18035	3.3668972460128943	conserved_up		alpha/beta hydrolase		alpha/beta hydrolase	K03928	carboxylesterase [EC:3.1.1.1]	glycine_betaine_choline	5.3518306284356125
WP_032873891.1	WP_079289159.1	gene-ACSAL1_RS12430	3.715114580233618	gene-ACZ0AN_RS14480	-1.5830758633695157	opposite		O-acetylserine dependent cystathionine beta-synthase		PLP-dependent cysteine synthase family protein	K17216	cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]	glycine_betaine_choline	5.298190443603134
WP_003151173.1	WP_020453255.1	gene-ACSAL1_RS17325	-2.0263806384706347	gene-ACZ0AN_RS19510	-3.0600091153813995	conserved_down	atpD	F0F1 ATP synthase subunit beta	atpD	F0F1 ATP synthase subunit beta	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	glycine_betaine_choline;sodium_homeostasis	5.086389753852034
WP_003156640.1	WP_020452159.1	gene-ACSAL1_RS01570	2.7062858342601133	gene-ACZ0AN_RS13205	2.3500364321204543	conserved_up	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	glycine_betaine_choline;proline;transport	5.056322266380567
WP_209387827.1	WP_020450112.1	gene-ACSAL1_RS01035	1.839758709499272	gene-ACZ0AN_RS02100	-3.146216833642523	opposite		alpha/beta hydrolase		alpha/beta hydrolase			glycine_betaine_choline	4.9859755431417945
WP_159353548.1	WP_020451629.1	gene-ACSAL1_RS17555	3.588000856490259	gene-ACZ0AN_RS10255	1.3632716721045643	conserved_up	narH	nitrate reductase subunit beta	narH	nitrate reductase subunit beta	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	glycine_betaine_choline;oxidative_stress	4.951272528594823
WP_003156639.1	WP_020452158.1	gene-ACSAL1_RS01575	2.488416056033597	gene-ACZ0AN_RS13200	2.383794255565834	conserved_up	opuAB	glycine/proline betaine ABC transporter permease subunit OpuAB		ABC transporter permease	K02001	glycine betaine/proline transport system permease protein	glycine_betaine_choline;proline;transport	4.872210311599431
WP_209388293.1	WP_095292208.1	gene-ACSAL1_RS09315	-1.26776836309052	gene-ACZ0AN_RS17975	-3.3996738742288177	conserved_down		alpha/beta hydrolase		alpha/beta fold hydrolase			glycine_betaine_choline	4.667442237319338
WP_007409122.1	WP_003180588.1	gene-ACSAL1_RS05735	2.206260333439909	gene-ACZ0AN_RS06385	-2.432494628538149	opposite		beta-ketoacyl-ACP synthase III		beta-ketoacyl-ACP synthase III	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	glycine_betaine_choline	4.638754961978058
WP_209387732.1	WP_020450470.1	gene-ACSAL1_RS18295	-2.1436874604686795	gene-ACZ0AN_RS03815	-2.3468186338859405	conserved_down		glycosyl hydrolase		glycoside hydrolase family 26 protein	K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	glycine_betaine_choline	4.49050609435462
WP_209388328.1	WP_023857755.1	gene-ACSAL1_RS06135	-2.503784716797393	gene-ACZ0AN_RS01470	-1.9860016630405093	conserved_down	bla	class A beta-lactamase	blaP	class A beta-lactamase BlaP	K17836	beta-lactamase class A [EC:3.5.2.6]	glycine_betaine_choline	4.489786379837902
WP_007610368.1	WP_020450770.1	gene-ACSAL1_RS05015	-3.115134870592171	gene-ACZ0AN_RS05480	-1.0180402323083362	conserved_down		alpha/beta-type small acid-soluble spore protein		alpha/beta-type small acid-soluble spore protein	K06418	small acid-soluble spore protein A/B/C/D	glycine_betaine_choline	4.133175102900507
WP_003151660.1	WP_020452993.1	gene-ACSAL1_RS15845	1.6800792678979262	gene-ACZ0AN_RS18085	2.3590116971797395	conserved_up		GbsR/MarR family transcriptional regulator		GbsR/MarR family transcriptional regulator	K22301	HTH-type transcriptional regulator, osmoprotectant uptake regulator	glycine_betaine_choline;regulation	4.039090965077666
WP_003151503.1	WP_020453050.1	gene-ACSAL1_RS16310	-2.9989415090396148	gene-ACZ0AN_RS18410	1.0186899730869814	opposite		beta-class carbonic anhydrase		beta-class carbonic anhydrase	K01673	carbonic anhydrase [EC:4.2.1.1]	glycine_betaine_choline	4.017631482126596
WP_209387545.1	WP_020452787.1	gene-ACSAL1_RS14690	2.3835243240054025	gene-ACZ0AN_RS16840	1.6137649185219811	conserved_up		Na+/H+ antiporter subunit E		Na+/H+ antiporter subunit E	K05569	multicomponent Na+:H+ antiporter subunit E	sodium_homeostasis	3.9972892425273834
WP_007613424.1	WP_003184834.1	gene-ACSAL1_RS14675	1.705470435359267	gene-ACZ0AN_RS16825	2.1793719584024784	conserved_up		Na(+)/H(+) antiporter subunit B		Na(+)/H(+) antiporter subunit B	K05566	multicomponent Na+:H+ antiporter subunit B	sodium_homeostasis	3.8848423937617453
WP_029973137.1	WP_023856670.1	gene-ACSAL1_RS05895	2.250454818324115	gene-ACZ0AN_RS06585	1.6151865424036524	conserved_up		monovalent cation:proton antiporter family protein		monovalent cation:proton antiporter family protein			sodium_homeostasis	3.8656413607277678
WP_012118311.1	WP_003184842.1	gene-ACSAL1_RS14695	1.9934462975446865	gene-ACZ0AN_RS16845	1.806800171857626	conserved_up		Na(+)/H(+) antiporter subunit F1		Na(+)/H(+) antiporter subunit F1	K05570	multicomponent Na+:H+ antiporter subunit F	sodium_homeostasis	3.8002464694023126
WP_003152056.1	WP_023856153.1	gene-ACSAL1_RS14700	2.040517932540208	gene-ACZ0AN_RS16850	1.5971631967375328	conserved_up	mnhG	monovalent cation/H(+) antiporter subunit G	mnhG	monovalent cation/H(+) antiporter subunit G	K05571	multicomponent Na+:H+ antiporter subunit G	sodium_homeostasis	3.637681129277741
WP_209387929.1	WP_396278994.1	gene-ACSAL1_RS02830	2.1582129126574885	gene-ACZ0AN_RS02710	1.4075276134146473	conserved_up		Na+/H+ antiporter NhaC family protein		Na+/H+ antiporter NhaC family protein			sodium_homeostasis	3.565740526072136
WP_022553706.1	WP_020452785.1	gene-ACSAL1_RS14680	1.4637724241629897	gene-ACZ0AN_RS16830	2.082874836018976	conserved_up		Na(+)/H(+) antiporter subunit C		Na(+)/H(+) antiporter subunit C	K05567	multicomponent Na+:H+ antiporter subunit C	sodium_homeostasis	3.546647260181966
WP_021494261.1	WP_020453440.1	gene-ACSAL1_RS11045	1.2529857526054409	gene-ACZ0AN_RS20500	2.081894459021268	conserved_up	nhaC	Na+/H+ antiporter NhaC	nhaC	Na+/H+ antiporter NhaC	K03315	Na+:H+ antiporter, NhaC family	sodium_homeostasis	3.3348802116267087
WP_077721760.1	WP_020452157.1	gene-ACSAL1_RS01580	1.8800441985345884	gene-ACZ0AN_RS13195	1.3902682595375233	conserved_up		glycine betaine ABC transporter substrate-binding protein		glycine betaine ABC transporter substrate-binding protein	K02002	glycine betaine/proline transport system substrate-binding protein	glycine_betaine_choline;proline;transport	3.2703124580721115
WP_209387544.1	WP_080131483.1	gene-ACSAL1_RS14670	1.126779857365058	gene-ACZ0AN_RS16820	2.1376321481368232	conserved_up		Na+/H+ antiporter subunit A		Na+/H+ antiporter subunit A	K05565	multicomponent Na+:H+ antiporter subunit A	sodium_homeostasis	3.2644120055018813
WP_011996172.1	WP_003178189.1	gene-ACSAL1_RS00290	-1.093957039424568	gene-ACZ0AN_RS00305	2.127714824064673	opposite		small%2C acid-soluble spore protein%2C alpha/beta type		small%2C acid-soluble spore protein%2C alpha/beta type	K06423	small acid-soluble spore protein F	glycine_betaine_choline	3.2216718634892407
WP_032863920.1	WP_224146418.1	gene-ACSAL1_RS14685	1.3007322633641176	gene-ACZ0AN_RS16835	1.9087232015654985	conserved_up		Na+/H+ antiporter subunit D		Na+/H+ antiporter subunit D	K05568	multicomponent Na+:H+ antiporter subunit D	sodium_homeostasis	3.209455464929616
WP_014417719.1	WP_145685923.1	gene-ACSAL1_RS07775	1.0100593211871682	gene-ACZ0AN_RS08460	-1.7440772675643292	opposite	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	glycine_betaine_choline	2.7541365887514972
WP_209388331.1	WP_025812022.1	gene-ACSAL1_RS06685	1.3726065950478916	gene-ACZ0AN_RS07345	-1.3375279001679892	opposite	proB	glutamate 5-kinase	proB	glutamate 5-kinase	K00931	glutamate 5-kinase [EC:2.7.2.11]	proline;transport	2.710134495215881
WP_209387442.1	WP_105981085.1	gene-ACSAL1_RS11990	-1.2476685128319194	gene-ACZ0AN_RS13660	-1.1182013854457922	conserved_down	glyS	glycine--tRNA ligase subunit beta	glyS	glycine--tRNA ligase subunit beta	K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	glycine_betaine_choline	2.3658698982777118
WP_209388263.1	WP_020452348.1	gene-ACSAL1_RS08895	-1.2524950976342657	gene-ACZ0AN_RS14285	-1.08045050474436	conserved_down	xynB	xylan 1%2C4-beta-xylosidase	xynB	xylan 1%2C4-beta-xylosidase	K01198	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	glycine_betaine_choline	2.3329456023786257
