ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	score	combined_score
WP_209387437.1	WP_025811788.1	gene-ACSAL1_RS11815	2.5663934508619137	gene-ACZ0AN_RS05425	3.607973905812304	conserved_up	nhaC	Na+/H+ antiporter NhaC	nhaC	Na+/H+ antiporter NhaC	K03315	Na+:H+ antiporter, NhaC family	sodium_homeostasis	6.174367356674217	6.174367356674217
WP_007408511.1	WP_020450572.1	gene-ACSAL1_RS04040	1.5621962991962208	gene-ACZ0AN_RS04335	4.221194628906001	conserved_up	cax	calcium/proton exchanger	cax	calcium/proton exchanger	K07300	Ca2+:H+ antiporter	sodium_homeostasis	5.7833909281022216	5.7833909281022216
WP_012118784.1	WP_095291331.1	gene-ACSAL1_RS18340	2.1270939898983303	gene-ACZ0AN_RS20580	3.6371951882411935	conserved_up	cimH	citrate/malate transporter CimH	cimH	citrate/malate transporter CimH	K11616	malate:Na+ symporter	sodium_homeostasis;transport	5.764289178139524	5.764289178139524
WP_003155217.1	WP_463315658.1	gene-ACSAL1_RS05240	-1.2965613643898437	gene-ACZ0AN_RS05710	-4.368438428530614	conserved_down	fabHB	beta-ketoacyl-ACP synthase III FabHB	NA	beta-ketoacyl-ACP synthase 3	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	glycine_betaine_choline	5.664999792920458	5.664999792920458
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite	gbsR	transcriptional regulator GbsR	cudC	choline uptake/conversion transcriptional regulator CudC	K22109	HTH-type transcriptional regulator, glycine betaine synthesis regulator	glycine_betaine_choline;regulation	5.5100352475365	5.5100352475365
WP_012118473.1	WP_020452989.1	gene-ACSAL1_RS15850	4.497788556616006	gene-ACZ0AN_RS18065	-1.012236443237037	opposite	opuCD	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCD	NA	ABC transporter permease	K05846	osmoprotectant transport system permease protein	glycine_betaine_choline;transport	5.510024999853043	5.510024999853043
WP_209387554.1	WP_020453235.1	gene-ACSAL1_RS14865	1.5416771575832595	gene-ACZ0AN_RS19395	-3.957512289066453	opposite	NA	alpha/beta hydrolase	NA	alpha/beta hydrolase	K07017	ferri-bacillibactin esterase [EC:3.1.-.-]	glycine_betaine_choline	5.499189446649712	5.499189446649712
WP_209387587.1	WP_035337713.1	gene-ACSAL1_RS15770	1.9849333824227184	gene-ACZ0AN_RS18035	3.3668972460128943	conserved_up	NA	alpha/beta hydrolase	NA	alpha/beta hydrolase	K03928	carboxylesterase [EC:3.1.1.1]	glycine_betaine_choline	5.3518306284356125	5.3518306284356125
WP_032873891.1	WP_079289159.1	gene-ACSAL1_RS12430	3.715114580233618	gene-ACZ0AN_RS14480	-1.5830758633695157	opposite	NA	O-acetylserine dependent cystathionine beta-synthase	NA	PLP-dependent cysteine synthase family protein	K17216	cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]	glycine_betaine_choline	5.298190443603134	5.298190443603134
WP_003151173.1	WP_020453255.1	gene-ACSAL1_RS17325	-2.0263806384706347	gene-ACZ0AN_RS19510	-3.0600091153813995	conserved_down	atpD	F0F1 ATP synthase subunit beta	atpD	F0F1 ATP synthase subunit beta	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	glycine_betaine_choline;sodium_homeostasis	5.086389753852034	5.086389753852034
WP_003156640.1	WP_020452159.1	gene-ACSAL1_RS01570	2.7062858342601133	gene-ACZ0AN_RS13205	2.3500364321204543	conserved_up	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	glycine_betaine_choline;proline;transport	5.056322266380567	5.056322266380567
WP_209387827.1	WP_020450112.1	gene-ACSAL1_RS01035	1.839758709499272	gene-ACZ0AN_RS02100	-3.146216833642523	opposite	NA	alpha/beta hydrolase	NA	alpha/beta hydrolase	NA	NA	glycine_betaine_choline	4.9859755431417945	4.9859755431417945
WP_159353548.1	WP_020451629.1	gene-ACSAL1_RS17555	3.588000856490259	gene-ACZ0AN_RS10255	1.3632716721045643	conserved_up	narH	nitrate reductase subunit beta	narH	nitrate reductase subunit beta	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	glycine_betaine_choline;oxidative_stress	4.951272528594823	4.951272528594823
