ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category
WP_014416732.1	WP_035337495.1	gene-ACSAL1_RS00405	1.4943052172992564	gene-ACZ0AN_RS00420	-1.699444508216135	opposite		protein kinase domain-containing protein		protein kinase domain-containing protein			unclassified
WP_014419051.1	WP_212110215.1	gene-ACSAL1_RS16980	-1.108740975137642	gene-ACZ0AN_RS10015	1.3378976246494805	opposite		flavin reductase family protein		flavin reductase family protein			unclassified
WP_032871696.1	WP_043054431.1	gene-ACSAL1_RS13565	1.0142526365747098	gene-ACZ0AN_RS15645	3.185809883603357	conserved_up	hisJ	histidinol-phosphatase HisJ	hisJ	histidinol-phosphatase HisJ	K04486	histidinol-phosphatase (PHP family) [EC:3.1.3.15]	unclassified
WP_032872770.1	WP_023855731.1	gene-ACSAL1_RS01615	2.854391752714983	gene-ACZ0AN_RS10810	1.1228098491428506	conserved_up		MarR family transcriptional regulator		MarR family winged helix-turn-helix transcriptional regulator			regulation
WP_065180448.1	WP_020450914.1	gene-ACSAL1_RS14925	-1.9419817747147752	gene-ACZ0AN_RS06280	1.2993709772841433	opposite	guaC	GMP reductase	guaC	GMP reductase	K00364	GMP reductase [EC:1.7.1.7]	unclassified
WP_087920760.1	WP_023857495.1	gene-ACSAL1_RS06330	-5.864729763497474	gene-ACZ0AN_RS12410	-2.03275570388518	conserved_down		Rap family tetratricopeptide repeat protein		Rap family tetratricopeptide repeat protein	K06359	response regulator aspartate phosphatase A (stage 0 sporulation protein L) [EC:3.1.-.-]	regulation
WP_007408448.1	WP_463315651.1	gene-ACSAL1_RS04765	1.7268055668652609	gene-ACZ0AN_RS05135	2.352357415295325	conserved_up		DUF5365 family protein		DUF5365 family protein			unclassified
WP_007610880.1	WP_262352115.1	gene-ACSAL1_RS06695	5.174352956865405	gene-ACZ0AN_RS07355	1.7804568924426	conserved_up		organic hydroperoxide resistance protein		organic hydroperoxide resistance protein	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	oxidative_stress
WP_007610941.1	WP_020451134.1	gene-ACSAL1_RS06880	-3.587327010368884	gene-ACZ0AN_RS07520	-1.0408795409147296	conserved_down		methylated-DNA--[protein]-cysteine S-methyltransferase		methylated-DNA--[protein]-cysteine S-methyltransferase	K00567	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	unclassified
WP_014418069.1	WP_105980986.1	gene-ACSAL1_RS09475	-4.471973670319692	gene-ACZ0AN_RS10320	2.4994008690485368	opposite		DUF1360 domain-containing protein		DUF1360 domain-containing protein			unclassified
WP_014418078.1	WP_026579843.1	gene-ACSAL1_RS09540	-7.517316532351051	gene-ACZ0AN_RS07115	3.213327105129636	opposite	ggt	gamma-glutamyltransferase	ggt	gamma-glutamyltransferase	K00681	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	unclassified
WP_017417453.1	WP_080131317.1	gene-ACSAL1_RS05805	-4.680521267366401	gene-ACZ0AN_RS06465	-1.70289199449179	conserved_down	oppF	oligopeptide ABC transporter ATP-binding protein OppF		ABC transporter ATP-binding protein	K10823	oligopeptide transport system ATP-binding protein	transport
WP_017417453.1	WP_080131317.1	gene-ACSAL1_RS05805	-4.680521267366401	gene-ACZ0AN_RS06465	-1.70289199449179	conserved_down	oppF	oligopeptide ABC transporter ATP-binding protein OppF		ABC transporter ATP-binding protein	K02032	peptide/nickel transport system ATP-binding protein	transport
WP_017418839.1	WP_039073040.1	gene-ACSAL1_RS16400	1.9358389985465128	gene-ACZ0AN_RS18500	3.0201054490804755	conserved_up	hisH	imidazole glycerol phosphate synthase subunit HisH	hisH	imidazole glycerol phosphate synthase subunit HisH	K02501	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	unclassified
WP_022552606.1	WP_463315629.1	gene-ACSAL1_RS02205	-2.163704397542098	gene-ACZ0AN_RS02675	-2.2856749883189225	conserved_down		GNAT family N-acetyltransferase		GNAT family N-acetyltransferase	K03817	ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]	unclassified
WP_109567373.1	WP_020451965.1	gene-ACSAL1_RS10680	-1.9607682639023825	gene-ACZ0AN_RS12120	1.2269881345414242	opposite		hypothetical protein		hypothetical protein			unclassified
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down		glycosyltransferase family 4 protein		glycosyltransferase family 4 protein	K19422	glycosyltransferase EpsD [EC:2.4.-.-]	biofilm_cell_envelope
WP_209387665.1	WP_075212731.1	gene-ACSAL1_RS16990	-3.690252701672995	gene-ACZ0AN_RS19110	-1.0148104745358797	conserved_down	ggt	gamma-glutamyltransferase	ggt	gamma-glutamyltransferase	K00681	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	unclassified
WP_209388014.1	WP_144497568.1	gene-ACSAL1_RS04155	-11.559233767667193	gene-ACZ0AN_RS04480	3.3755990124202504	opposite	lpdA	dihydrolipoyl dehydrogenase	lpdA	dihydrolipoyl dehydrogenase	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	unclassified
WP_209388097.1	WP_020450931.1	gene-ACSAL1_RS05785	-4.369237861431171	gene-ACZ0AN_RS06445	-2.610654489631579	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein	K15580	oligopeptide transport system substrate-binding protein	transport
WP_209388097.1	WP_020450931.1	gene-ACSAL1_RS05785	-4.369237861431171	gene-ACZ0AN_RS06445	-2.610654489631579	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein	K02035	peptide/nickel transport system substrate-binding protein	transport
WP_003154064.1	WP_020451500.1	gene-ACSAL1_RS08825	-2.8167681017396933	gene-ACZ0AN_RS09570	-1.413477236468035	conserved_down	hfq	RNA chaperone Hfq	hfq	RNA chaperone Hfq	K03666	host factor-I protein	unclassified
WP_007613450.1	WP_020452803.1	gene-ACSAL1_RS14780	-1.8518160257324656	gene-ACZ0AN_RS16940	3.537804541539622	opposite		HD domain-containing protein		HD domain-containing protein			unclassified
WP_017419515.1	WP_033155020.1	gene-ACSAL1_RS14365	-2.2543819786072805	gene-ACZ0AN_RS16445	1.392523338543379	opposite		DinB family protein		DinB family protein			unclassified
WP_209387623.1	WP_023856360.1	gene-ACSAL1_RS16410	2.7205759091802344	gene-ACZ0AN_RS18510	3.249324027327487	conserved_up	hisD	histidinol dehydrogenase	hisD	histidinol dehydrogenase	K00013	histidinol dehydrogenase [EC:1.1.1.23]	unclassified
WP_209388040.1	WP_051303785.1	gene-ACSAL1_RS04685	1.0414677784500952	gene-ACZ0AN_RS05040	-1.0575515202674095	opposite		hypothetical protein		hypothetical protein			unclassified
WP_209388089.1	WP_050820921.1	gene-ACSAL1_RS05670	-4.715303622546209	gene-ACZ0AN_RS06315	1.0881756127610345	opposite	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	transport
WP_209388124.1	WP_003182594.1	gene-ACSAL1_RS06220	2.5594604962055274	gene-ACZ0AN_RS11030	-1.52780665734131	opposite		YjfB family protein		YjfB family protein			unclassified
WP_209388340.1	WP_463315652.1	gene-ACSAL1_RS09565	-2.7945049267147444	gene-ACZ0AN_RS05175	1.1004179769627962	opposite		zinc-binding dehydrogenase		quinone oxidoreductase family protein	K13955	zinc-binding alcohol dehydrogenase/oxidoreductase	oxidative_stress
WP_003155540.1	WP_101561777.1	gene-ACSAL1_RS04140	-14.426380794359346	gene-ACZ0AN_RS04465	3.3268056927873104	opposite	acoA	acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha		thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha	K21416	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]	oxidative_stress
WP_003156206.1	WP_023857876.1	gene-ACSAL1_RS02425	7.9326499189938176	gene-ACZ0AN_RS02760	-1.6792513251474843	opposite	fbpB	Fur-regulated basic protein FbpB	fbpB	Fur-regulated basic protein FbpB			unclassified
WP_003156765.1	WP_023857683.1	gene-ACSAL1_RS01125	-1.7931319859896746	gene-ACZ0AN_RS01080	-1.9022331091137663	conserved_down	rsiW	anti-sigma-W factor RsiW	rsiW	anti-sigma-W factor RsiW			unclassified
WP_007409608.1	WP_165583461.1	gene-ACSAL1_RS07130	1.8450025743937128	gene-ACZ0AN_RS07825	2.533535383968431	conserved_up		hypothetical protein		hypothetical protein			unclassified
WP_007410318.1	WP_020451611.1	gene-ACSAL1_RS09210	-1.0729569290233014	gene-ACZ0AN_RS10170	3.0305621939608693	opposite		HesB/YadR/YfhF family protein		HesB/YadR/YfhF family protein			unclassified
WP_014418163.1	WP_020451887.1	gene-ACSAL1_RS10195	-1.9451495875440592	gene-ACZ0AN_RS11645	-1.1626147456375169	conserved_down		glutathione peroxidase		glutathione peroxidase	K00432	glutathione peroxidase [EC:1.11.1.9]	oxidative_stress
WP_014418226.1	WP_020451906.1	gene-ACSAL1_RS10335	2.374750587949929	gene-ACZ0AN_RS11770	-1.960687448398598	opposite		hypothetical protein		hypothetical protein			unclassified
WP_014418701.1	WP_020452681.1	gene-ACSAL1_RS14130	-3.951984887906128	gene-ACZ0AN_RS16155	-2.711653419295993	conserved_down		FixH family protein		FixH family protein			unclassified
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite	gbsR	transcriptional regulator GbsR	cudC	choline uptake/conversion transcriptional regulator CudC	K22109	HTH-type transcriptional regulator, glycine betaine synthesis regulator	glycine_betaine_choline;regulation
WP_209387807.1	WP_026579010.1	gene-ACSAL1_RS00095	-2.016292304833926	gene-ACZ0AN_RS00095	2.2050165501959564	opposite		glycerate kinase		glycerate kinase	K00865	glycerate 2-kinase [EC:2.7.1.165]	unclassified
WP_209387815.1	WP_095293084.1	gene-ACSAL1_RS00350	2.688175189689999	gene-ACZ0AN_RS00365	-1.0842081557662198	opposite		putative polysaccharide biosynthesis protein		putative polysaccharide biosynthesis protein	K03328	polysaccharide transporter, PST family	biofilm_cell_envelope
WP_209387847.1	WP_216919657.1	gene-ACSAL1_RS01435	-3.23001386047492	gene-ACZ0AN_RS16425	1.108794667870473	opposite	pcp	pyroglutamyl-peptidase I	pcp	pyroglutamyl-peptidase I	K01304	pyroglutamyl-peptidase [EC:3.4.19.3]	unclassified
WP_209387851.1	WP_463315617.1	gene-ACSAL1_RS01475	1.6324063816200225	gene-ACZ0AN_RS01680	-2.381338331948041	opposite		DUF5105 domain-containing protein		DUF4352 domain-containing protein			unclassified
WP_209388020.1	WP_463315646.1	gene-ACSAL1_RS04240	-2.1662685257865744	gene-ACZ0AN_RS04565	-1.1357289425919133	conserved_down	bstA	bacillithiol transferase BstA		YfiT family bacillithiol transferase			unclassified
WP_209388025.1	WP_023855996.1	gene-ACSAL1_RS04345	1.5938601705731903	gene-ACZ0AN_RS04645	3.39372446317414	conserved_up		metal-dependent hydrolase		metal-dependent hydrolase	K07038	inner membrane protein	unclassified
WP_209388066.1	WP_023856564.1	gene-ACSAL1_RS05215	-1.182433288881998	gene-ACZ0AN_RS05685	-1.2122364320173835	conserved_down	hemE	uroporphyrinogen decarboxylase	hemE	uroporphyrinogen decarboxylase	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	unclassified
WP_209388068.1	WP_003180341.1	gene-ACSAL1_RS05300	-1.1396719652030278	gene-ACZ0AN_RS05785	-3.547532508357943	conserved_down		ABC transporter substrate-binding protein		ABC transporter substrate-binding protein			transport
WP_003152359.1	WP_023855521.1	gene-ACSAL1_RS13815	2.210453037090703	gene-ACZ0AN_RS15805	2.591072122297144	conserved_up	trmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	unclassified
WP_003153229.1	WP_463315567.1	gene-ACSAL1_RS11345	-1.6740983551861546	gene-ACZ0AN_RS12935	-4.8994849241551215	conserved_down	artM	arginine ABC transporter ATP-binding protein ArtM		amino acid ABC transporter ATP-binding protein	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	transport
WP_003153229.1	WP_463315567.1	gene-ACSAL1_RS11345	-1.6740983551861546	gene-ACZ0AN_RS12935	-4.8994849241551215	conserved_down	artM	arginine ABC transporter ATP-binding protein ArtM		amino acid ABC transporter ATP-binding protein	K23060	arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]	transport
WP_003153246.1	WP_003183271.1	gene-ACSAL1_RS11280	-2.024361599075449	gene-ACZ0AN_RS12830	1.683032903131903	opposite	rpmG	50S ribosomal protein L33	rpmG	50S ribosomal protein L33	K02913	large subunit ribosomal protein L33	unclassified
WP_003153348.1	WP_020452031.1	gene-ACSAL1_RS10980	-5.321007350179249	gene-ACZ0AN_RS12475	-2.230434213485784	conserved_down	sigF	RNA polymerase sporulation sigma factor SigF	sigF	RNA polymerase sporulation sigma factor SigF	K03091	RNA polymerase sigma-E/F/G factor	unclassified
WP_014418573.1	WP_023855442.1	gene-ACSAL1_RS12990	1.752706220236102	gene-ACZ0AN_RS15070	-1.57885749075382	opposite		GerMN domain-containing protein		GerMN domain-containing protein	K06298	germination protein M	unclassified
WP_021493826.1	WP_103749038.1	gene-ACSAL1_RS06495	2.7745743682146844	gene-ACZ0AN_RS07020	1.141918603552586	conserved_up		baseplate J/gp47 family protein		baseplate J/gp47 family protein			unclassified
WP_021494369.1	WP_025811067.1	gene-ACSAL1_RS12425	4.16036785591864	gene-ACZ0AN_RS14475	-2.669849375920057	opposite		bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase		bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase	K17217	cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]	unclassified
WP_021494369.1	WP_025811067.1	gene-ACSAL1_RS12425	4.16036785591864	gene-ACZ0AN_RS14475	-2.669849375920057	opposite		bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase		bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase	K01760	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	glycine_betaine_choline
WP_021494398.1	WP_023855436.1	gene-ACSAL1_RS12935	-2.5752707188524626	gene-ACZ0AN_RS15005	1.6835178236565316	opposite		2-isopropylmalate synthase		2-isopropylmalate synthase	K01649	2-isopropylmalate synthase [EC:2.3.3.13]	unclassified
WP_021494838.1	WP_023857146.1	gene-ACSAL1_RS17000	-1.9059004191608315	gene-ACZ0AN_RS19120	1.6134055385530237	opposite	chrB	chromate efflux transporter subunit ChrB		chromate transporter	K07240	chromate transporter	transport
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite		iron ABC transporter ATP-binding protein		iron ABC transporter ATP-binding protein	K25285	iron-siderophore transport system ATP-binding protein [EC:7.2.2.-]	transport
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite		iron ABC transporter ATP-binding protein		iron ABC transporter ATP-binding protein	K25283	iron-siderophore transport system permease protein	transport
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite		iron ABC transporter ATP-binding protein		iron ABC transporter ATP-binding protein	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]	transport
WP_065180546.1	WP_020451905.1	gene-ACSAL1_RS10330	1.2718280674797813	gene-ACZ0AN_RS11765	1.3911819646099344	conserved_up		ATP-dependent DNA helicase		ATP-dependent DNA helicase	K03722	ATP-dependent DNA helicase DinG [EC:5.6.2.3]	unclassified
WP_209387856.1	WP_065644601.1	gene-ACSAL1_RS01565	-4.883845397278584	gene-ACZ0AN_RS04420	-1.5259832038594563	conserved_down		MFS transporter		MFS transporter	K28762	MFS transporter, niacin uptake porter	transport
WP_209387897.1	WP_020451129.1	gene-ACSAL1_RS02175	-1.9096990013062256	gene-ACZ0AN_RS07495	-2.034741719174001	conserved_down		penicillin-binding transpeptidase domain-containing protein		penicillin-binding transpeptidase domain-containing protein	K21467	penicillin-binding protein 3	unclassified
WP_209387942.1	WP_212930469.1	gene-ACSAL1_RS03010	-5.319763060058924	gene-ACZ0AN_RS06770	-1.652784228966899	conserved_down		serine hydrolase		serine hydrolase	K01286	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	unclassified
WP_007407725.1	WP_020453376.1	gene-ACSAL1_RS18105	1.055493459706895	gene-ACZ0AN_RS20155	2.047636993162536	conserved_up		CidA/LrgA family holin-like protein		CidA/LrgA family holin-like protein	K06518	holin-like protein	unclassified
WP_007408461.1	WP_020451149.1	gene-ACSAL1_RS06945	4.554990244619121	gene-ACZ0AN_RS07600	1.2757454494222562	conserved_up	motA	flagellar motor stator protein MotA	motA	flagellar motor stator protein MotA	K02556	chemotaxis protein MotA	unclassified
WP_007408540.1	WP_026580626.1	gene-ACSAL1_RS04220	-2.407736345212819	gene-ACZ0AN_RS04555	-1.2387489045274809	conserved_down		NAD(P)H-dependent oxidoreductase		NAD(P)H-dependent oxidoreductase	K00355	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	oxidative_stress
WP_007408834.1	WP_020452679.1	gene-ACSAL1_RS14115	1.1379603923857866	gene-ACZ0AN_RS16140	1.5694256768369166	conserved_up		phage holin family protein		phage holin family protein			unclassified
WP_007408838.1	WP_020452683.1	gene-ACSAL1_RS14140	1.5588046817683694	gene-ACZ0AN_RS16165	1.7022208971195518	conserved_up	yidD	membrane protein insertion efficiency factor YidD	yidD	membrane protein insertion efficiency factor YidD	K08998	uncharacterized protein	unclassified
WP_007409202.1	WP_039072636.1	gene-ACSAL1_RS05280	-7.186396071002923	gene-ACZ0AN_RS05745	1.5113821695313574	opposite		fatty acid--CoA ligase family protein		fatty acid--CoA ligase family protein	K01897	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	unclassified
WP_007409232.1	WP_020450783.1	gene-ACSAL1_RS05080	-4.432094049797036	gene-ACZ0AN_RS05535	-1.7395135731914453	conserved_down		enoyl-CoA hydratase		enoyl-CoA hydratase			unclassified
WP_007409265.1	WP_020450740.1	gene-ACSAL1_RS04910	1.0249219112974963	gene-ACZ0AN_RS05330	-1.5719943229369508	opposite		lysophospholipid acyltransferase family protein		lysophospholipid acyltransferase family protein	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	unclassified
WP_014416856.1	WP_079289465.1	gene-ACSAL1_RS01640	-1.6857081681624009	gene-ACZ0AN_RS01920	2.0336343684461164	opposite	nadE	ammonia-dependent NAD(+) synthetase	nadE	ammonia-dependent NAD(+) synthetase	K01916	NAD+ synthase [EC:6.3.1.5]	unclassified
WP_014416875.1	WP_003183787.1	gene-ACSAL1_RS01775	4.896699567113498	gene-ACZ0AN_RS14190	1.2595998092658656	conserved_up	hxlA	3-hexulose-6-phosphate synthase	hxlA	3-hexulose-6-phosphate synthase	K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43]	unclassified
WP_014417303.1	WP_023856526.1	gene-ACSAL1_RS04945	1.1163275496409255	gene-ACZ0AN_RS05385	1.3020837681910555	conserved_up		fluoride efflux transporter FluC		fluoride efflux transporter FluC	K06199	fluoride exporter	unclassified
WP_014417624.1	WP_020451220.1	gene-ACSAL1_RS07280	-2.992597824096704	gene-ACZ0AN_RS08005	-1.8572633755859416	conserved_down	yknW	YknW family membrane protein	yknW	YknW family membrane protein	K24951	membrane protein, antimicrobial resistance system	unclassified
WP_014419084.1	WP_020453225.1	gene-ACSAL1_RS17200	-2.552460447470357	gene-ACZ0AN_RS19340	-1.0552941587939886	conserved_down	spoIIQ	stage II sporulation protein SpoIIQ		M23 family metallopeptidase	K06386	stage II sporulation protein Q	unclassified
WP_014419100.1	WP_020453263.1	gene-ACSAL1_RS17365	-1.354006829706629	gene-ACZ0AN_RS19550	-1.7907575845297306	conserved_down	upp	uracil phosphoribosyltransferase	upp	uracil phosphoribosyltransferase	K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]	unclassified
WP_015239079.1	WP_080131481.1	gene-ACSAL1_RS01345	1.449471144073017	gene-ACZ0AN_RS16805	-1.1845924896227915	opposite		phosphatidylserine decarboxylase		phosphatidylserine decarboxylase	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	unclassified
WP_015239834.1	WP_080131361.1	gene-ACSAL1_RS07965	1.070173059097868	gene-ACZ0AN_RS08675	-2.783154204561614	opposite		precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase family protein		precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase family protein	K24866	precorrin-2 dehydrogenase [EC:1.3.1.76]	unclassified
WP_029973465.1	WP_035338769.1	gene-ACSAL1_RS08295	4.211365065011884	gene-ACZ0AN_RS08995	3.1360969960722347	conserved_up	flgD	flagellar hook assembly protein FlgD	flgD	flagellar hook assembly protein FlgD	K02389	flagellar basal-body rod modification protein FlgD	unclassified
WP_032873891.1	WP_079289159.1	gene-ACSAL1_RS12430	3.715114580233618	gene-ACZ0AN_RS14480	-1.5830758633695157	opposite		O-acetylserine dependent cystathionine beta-synthase		PLP-dependent cysteine synthase family protein	K17216	cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]	glycine_betaine_choline
WP_209387531.1	WP_020452705.1	gene-ACSAL1_RS14350	1.9396924738412624	gene-ACZ0AN_RS16395	-1.599948335239788	opposite	thiT	energy-coupled thiamine transporter ThiT	thiT	energy-coupled thiamine transporter ThiT	K16789	thiamine transporter	unclassified
WP_209387584.1	WP_020452969.1	gene-ACSAL1_RS15685	-3.073315664568395	gene-ACZ0AN_RS17930	1.1343017837849023	opposite		oxidoreductase		oxidoreductase	K16044	scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]	oxidative_stress
