gene_id	protein_id	gene_symbol	product
gene-ACSAL1_RS00625	WP_003156412.1		Mini-ribonuclease 3
gene-ACSAL1_RS00630	WP_003156413.1	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
gene-ACSAL1_RS00635	WP_003156414.1	rae1	ribosome-dependent mRNA decay endonuclease Rae1/YacP
gene-ACSAL1_RS00640	WP_003156415.1	sigH	RNA polymerase sporulation sigma factor SigH
gene-ACSAL1_RS00645	WP_003156421.1	rpmG	50S ribosomal protein L33
gene-ACSAL1_RS00650	WP_003156422.1	secE	preprotein translocase subunit SecE
gene-ACSAL1_RS00655	WP_003156423.1	nusG	transcription termination/antitermination protein NusG
gene-ACSAL1_RS00660	WP_003156430.1	rplK	50S ribosomal protein L11
gene-ACSAL1_RS00665	WP_003156431.1	rplA	50S ribosomal protein L1
gene-ACSAL1_RS00670	WP_014416746.1	rplJ	50S ribosomal protein L10
gene-ACSAL1_RS00675	WP_003156436.1	rplL	50S ribosomal protein L7/L12
gene-ACSAL1_RS00680	WP_015388780.1		class I SAM-dependent methyltransferase
gene-ACSAL1_RS00685	WP_209387820.1	rpoB	DNA-directed RNA polymerase subunit beta
gene-ACSAL1_RS00690	WP_007410398.1	rpoC	DNA-directed RNA polymerase subunit beta'
gene-ACSAL1_RS00695	WP_003156443.1		50S ribosomal protein L7ae-like protein
gene-ACSAL1_RS00700	WP_003156445.1	rpsL	30S ribosomal protein S12
gene-ACSAL1_RS00705	WP_003156447.1	rpsG	30S ribosomal protein S7
gene-ACSAL1_RS00710	WP_007410399.1	fusA	elongation factor G
gene-ACSAL1_RS00715	WP_007410400.1	tuf	elongation factor Tu
gene-ACSAL1_RS00720	WP_209387821.1		alpha/beta fold hydrolase
gene-ACSAL1_RS00725	WP_003156464.1	rpsJ	30S ribosomal protein S10
gene-ACSAL1_RS00730	WP_007410402.1	rplC	50S ribosomal protein L3
gene-ACSAL1_RS00735	WP_007615239.1	rplD	50S ribosomal protein L4
gene-ACSAL1_RS00740	WP_003156467.1	rplW	50S ribosomal protein L23
gene-ACSAL1_RS00745	WP_003156470.1	rplB	50S ribosomal protein L2
gene-ACSAL1_RS00750	WP_003156472.1	rpsS	30S ribosomal protein S19
gene-ACSAL1_RS00755	WP_003156475.1	rplV	50S ribosomal protein L22
gene-ACSAL1_RS00760	WP_003156476.1	rpsC	30S ribosomal protein S3
gene-ACSAL1_RS00765	WP_003156478.1	rplP	50S ribosomal protein L16
gene-ACSAL1_RS00770	WP_003156482.1	rpmC	50S ribosomal protein L29
gene-ACSAL1_RS00775	WP_003156484.1	rpsQ	30S ribosomal protein S17
gene-ACSAL1_RS00780	WP_007410404.1	rplN	50S ribosomal protein L14
gene-ACSAL1_RS00785	WP_003156486.1	rplX	50S ribosomal protein L24
gene-ACSAL1_RS00790	WP_003156487.1	rplE	50S ribosomal protein L5
gene-ACSAL1_RS00795	WP_003156488.1	rpsN	30S ribosomal protein S14
gene-ACSAL1_RS00800	WP_003156489.1	rpsH	30S ribosomal protein S8
gene-ACSAL1_RS00805	WP_209387822.1	rplF	50S ribosomal protein L6
gene-ACSAL1_RS00810	WP_003156492.1	rplR	50S ribosomal protein L18
gene-ACSAL1_RS00815	WP_003156493.1	rpsE	30S ribosomal protein S5
gene-ACSAL1_RS00820	WP_003156497.1	rpmD	50S ribosomal protein L30
gene-ACSAL1_RS00825	WP_003156499.1	rplO	50S ribosomal protein L15
gene-ACSAL1_RS00830	WP_007410406.1	secY	preprotein translocase subunit SecY
gene-ACSAL1_RS00835	WP_007410407.1		adenylate kinase
gene-ACSAL1_RS00840	WP_007410408.1	map	type I methionyl aminopeptidase
gene-ACSAL1_RS00845			KOW domain-containing RNA-binding protein
gene-ACSAL1_RS00850	WP_003156508.1	infA	translation initiation factor IF-1
gene-ACSAL1_RS00855	WP_003156543.1	rpmJ	50S ribosomal protein L36
gene-ACSAL1_RS00860	WP_003156545.1	rpsM	30S ribosomal protein S13
gene-ACSAL1_RS00865	WP_007410409.1	rpsK	30S ribosomal protein S11
gene-ACSAL1_RS00870	WP_003156549.1		DNA-directed RNA polymerase subunit alpha
gene-ACSAL1_RS00875	WP_003156550.1	rplQ	50S ribosomal protein L17
gene-ACSAL1_RS00880	WP_061861777.1		energy-coupling factor ABC transporter ATP-binding protein
gene-ACSAL1_RS00885	WP_029974329.1		energy-coupling factor ABC transporter ATP-binding protein
gene-ACSAL1_RS00890	WP_014304219.1		energy-coupling factor transporter transmembrane component T family protein
gene-ACSAL1_RS00895	WP_032872237.1	truA	tRNA pseudouridine(38-40) synthase TruA
gene-ACSAL1_RS00900	WP_003225844.1	rplM	50S ribosomal protein L13
gene-ACSAL1_RS00905	WP_003225846.1	rpsI	30S ribosomal protein S9
gene-ACSAL1_RS00910	WP_014416757.1		class I SAM-dependent methyltransferase
gene-ACSAL1_RS00915	WP_209387823.1		DinB family protein
gene-ACSAL1_RS00920	WP_007410416.1		DUF2521 family protein
gene-ACSAL1_RS00925	WP_007410417.1	cwlD	N-acetylmuramoyl-L-alanine amidase CwlD
gene-ACSAL1_RS00930	WP_209387824.1		Mrp/NBP35 family ATP-binding protein
gene-ACSAL1_RS00935	WP_007615280.1	gerD	spore germination lipoprotein GerD
gene-ACSAL1_RS00940	WP_209387825.1	kbaA	KinB-signaling pathway activation protein
gene-ACSAL1_RS00945	WP_095061648.1	pdaB	polysaccharide deacetylase family sporulation protein PdaB
gene-ACSAL1_RS01005	WP_179156185.1		MFS transporter
gene-ACSAL1_RS01010	WP_007408029.1		aspartate aminotransferase family protein
gene-ACSAL1_RS01015	WP_014416764.1		inositol monophosphatase family protein
gene-ACSAL1_RS01020	WP_003156784.1		zinc-dependent alcohol dehydrogenase
gene-ACSAL1_RS01025	WP_209387826.1		SulP family inorganic anion transporter
gene-ACSAL1_RS01030	WP_088056555.1		bile acid:sodium symporter family protein
gene-ACSAL1_RS01035	WP_209387827.1		alpha/beta hydrolase
gene-ACSAL1_RS01040	WP_038461736.1	feuC	iron ABC transporter permease FeuC
gene-ACSAL1_RS01045	WP_007609051.1		FecCD family ABC transporter permease
gene-ACSAL1_RS01050	WP_209387828.1		ABC transporter substrate-binding protein
gene-ACSAL1_RS01055	WP_209387829.1	btr	bacillibactin transport transcriptional regulator Btr
gene-ACSAL1_RS01060	WP_209387830.1		exo-beta-N-acetylmuramidase NamZ family protein
gene-ACSAL1_RS01065	WP_128496408.1		glycoside hydrolase family 3 protein
gene-ACSAL1_RS01070	WP_021495337.1	pbp4b	penicillin binding protein PBP4B
gene-ACSAL1_RS01075	WP_022552502.1		PTS transporter subunit EIIC
gene-ACSAL1_RS01080	WP_209387831.1	murQ	N-acetylmuramic acid 6-phosphate etherase
gene-ACSAL1_RS01085	WP_007408015.1		GNAT family N-acetyltransferase
gene-ACSAL1_RS01090	WP_014416775.1		2-thiouracil desulfurase family protein
gene-ACSAL1_RS01120	WP_003156766.1	sigW	RNA polymerase sigma factor SigW
gene-ACSAL1_RS01125	WP_003156765.1	rsiW	anti-sigma-W factor RsiW
gene-ACSAL1_RS01130	WP_003156763.1	cdaA	diadenylate cyclase CdaA
gene-ACSAL1_RS01135	WP_021495334.1	cdaR	CdaA regulatory protein CdaR
gene-ACSAL1_RS01140	WP_007408011.1	glmM	phosphoglucosamine mutase
gene-ACSAL1_RS01145	WP_003156758.1	glmS	glutamine--fructose-6-phosphate transaminase (isomerizing)
gene-ACSAL1_RS01150	WP_159353720.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS01155	WP_159353721.1		ABC-2 transporter permease
gene-ACSAL1_RS01160	WP_209387832.1		hypothetical protein
gene-ACSAL1_RS01165	WP_209387833.1		DUF4885 family protein
gene-ACSAL1_RS01170	WP_095273299.1		aldo/keto reductase
gene-ACSAL1_RS01175	WP_007408978.1		LrgB family protein
gene-ACSAL1_RS01180	WP_003156751.1		CidA/LrgA family holin-like protein
gene-ACSAL1_RS01185	WP_014416787.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACSAL1_RS01190	WP_022552512.1		amino acid permease
gene-ACSAL1_RS01195	WP_007408981.1		YjjG family noncanonical pyrimidine nucleotidase
gene-ACSAL1_RS01200	WP_021495324.1		sensor histidine kinase
gene-ACSAL1_RS01205	WP_053285458.1		response regulator
gene-ACSAL1_RS01210	WP_209387834.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS01215	WP_209387835.1		ABC transporter permease
gene-ACSAL1_RS01220	WP_209387836.1		ABC transporter permease
gene-ACSAL1_RS01225	WP_011996242.1		hypothetical protein
gene-ACSAL1_RS01230	WP_007408988.1		DUF4879 domain-containing protein
gene-ACSAL1_RS01235	WP_029974790.1		sigma-G-dependent sporulation-specific acid-soluble spore protein CsgA
gene-ACSAL1_RS01240	WP_014416798.1		YqeB family protein
gene-ACSAL1_RS01245	WP_003156732.1		hypothetical protein
gene-ACSAL1_RS01250	WP_209387837.1	aimA	glutamate/serine transporter AimA
gene-ACSAL1_RS01255	WP_209387838.1		glycosyltransferase family 2 protein
gene-ACSAL1_RS01260			glycerophosphodiester phosphodiesterase family protein
gene-ACSAL1_RS01265			glycerophosphodiester phosphodiesterase
gene-ACSAL1_RS01270	WP_209387839.1		hypothetical protein
gene-ACSAL1_RS01275	WP_014720665.1		DUF2651 family protein
gene-ACSAL1_RS01280	WP_209387840.1		glycerophosphodiester phosphodiesterase
gene-ACSAL1_RS01285	WP_003156725.1	glpT	glycerol-3-phosphate transporter
gene-ACSAL1_RS01290	WP_007408994.1		DUF2651 family protein
gene-ACSAL1_RS01295	WP_044802692.1	hpaB	4-hydroxyphenylacetate 3-monooxygenase%2C oxygenase component
gene-ACSAL1_RS01300	WP_209387841.1		hypothetical protein
gene-ACSAL1_RS01305	WP_209387842.1		glycoside hydrolase domain-containing protein
gene-ACSAL1_RS01310	WP_395940758.1		DMT family transporter
gene-ACSAL1_RS01315	WP_115940389.1		AraC family ligand binding domain-containing protein
gene-ACSAL1_RS01320	WP_003156718.1		helix-turn-helix transcriptional regulator
gene-ACSAL1_RS01325	WP_209387843.1		iron-containing alcohol dehydrogenase family protein
gene-ACSAL1_RS01330	WP_011996252.1	purT	phosphoribosylglycinamide formyltransferase 2
gene-ACSAL1_RS01335	WP_007409002.1	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase
gene-ACSAL1_RS01340	WP_003156711.1		DedA family protein
gene-ACSAL1_RS01345	WP_015239079.1		phosphatidylserine decarboxylase
gene-ACSAL1_RS01350	WP_095273285.1		hypothetical protein
gene-ACSAL1_RS01355	WP_031378711.1	trhO	oxygen-dependent tRNA uridine(34) hydroxylase TrhO
gene-ACSAL1_RS01360	WP_209387844.1	gltP	glutamate-aspartate/proton symporter GltP
gene-ACSAL1_RS01365	WP_209387845.1		branched-chain amino acid aminotransferase
gene-ACSAL1_RS01370	WP_161512148.1		amino acid permease
gene-ACSAL1_RS01375	WP_209387846.1	mmuM	homocysteine S-methyltransferase
gene-ACSAL1_RS01380	WP_022552527.1		alanine/glycine:cation symporter family protein
gene-ACSAL1_RS01385	WP_007409011.1		glutaminase
gene-ACSAL1_RS01390	WP_022552528.1	glnK	two-component system sensor histidine kinase GlnK
gene-ACSAL1_RS01395	WP_007409014.1	glnL	glutamine utilization two-component system response regulator GlnL
gene-ACSAL1_RS01400	WP_095061510.1		macrolide 2'-phosphotransferase
gene-ACSAL1_RS01405	WP_021495300.1		tryptophan RNA-binding attenuator protein inhibitory protein
gene-ACSAL1_RS01410	WP_003156684.1		DUF2512 family protein
gene-ACSAL1_RS01415	WP_003156683.1		cell wall hydrolase
gene-ACSAL1_RS01420	WP_014304274.1		alkaline phosphatase D family protein
gene-ACSAL1_RS01425	WP_003156681.1		twin-arginine translocase TatA/TatE family subunit
gene-ACSAL1_RS01430	WP_095273282.1	tatC	twin-arginine translocase subunit TatC
gene-ACSAL1_RS01435	WP_209387847.1	pcp	pyroglutamyl-peptidase I
gene-ACSAL1_RS01440	WP_209387848.1		aminotransferase class V-fold PLP-dependent enzyme
gene-ACSAL1_RS01445	WP_061861808.1	lmr(B)	lincomycin efflux MFS transporter Lmr(B)
gene-ACSAL1_RS01450	WP_014416828.1	lmrA	transcriptional regulator LmrA
gene-ACSAL1_RS01455	WP_209387849.1		asparaginase domain-containing protein
gene-ACSAL1_RS01460	WP_017419343.1	estA	lipase EstA
gene-ACSAL1_RS01465	WP_095061498.1		helix-turn-helix domain-containing protein
gene-ACSAL1_RS01470	WP_209387850.1		aldo/keto reductase
gene-ACSAL1_RS01475	WP_209387851.1		DUF5105 domain-containing protein
gene-ACSAL1_RS01480	WP_209388312.1		YcdB/YcdC domain-containing protein
gene-ACSAL1_RS01485	WP_209387852.1		YcdB/YcdC domain-containing protein
gene-ACSAL1_RS01490	WP_061861816.1	cwlK	peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK
gene-ACSAL1_RS01495	WP_014416837.1		response regulator aspartate phosphatase
gene-ACSAL1_RS01500	WP_017419351.1		glucose 1-dehydrogenase
gene-ACSAL1_RS01505	WP_209387853.1		MFS transporter
gene-ACSAL1_RS01510	WP_209387854.1		glycoside hydrolase family 13 protein
gene-ACSAL1_RS01515	WP_029973931.1		metal ABC transporter substrate-binding protein
gene-ACSAL1_RS01520	WP_021495283.1		metal ABC transporter ATP-binding protein
gene-ACSAL1_RS01525	WP_007409044.1		metal ABC transporter permease
gene-ACSAL1_RS01530	WP_209387855.1		LLM class flavin-dependent oxidoreductase
gene-ACSAL1_RS01535	WP_015239102.1		TerD family protein
gene-ACSAL1_RS01540	WP_003156648.1		TerD family protein
gene-ACSAL1_RS01545	WP_003156645.1		TerD family protein
gene-ACSAL1_RS01550	WP_003156644.1		TerC family protein
gene-ACSAL1_RS01555	WP_159353744.1		YceG family protein
gene-ACSAL1_RS01560	WP_007609246.1		toxic anion resistance protein
gene-ACSAL1_RS01565	WP_209387856.1		MFS transporter
gene-ACSAL1_RS01570	WP_003156640.1	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA
gene-ACSAL1_RS01575	WP_003156639.1	opuAB	glycine/proline betaine ABC transporter permease subunit OpuAB
gene-ACSAL1_RS01580	WP_077721760.1		glycine betaine ABC transporter substrate-binding protein
gene-ACSAL1_RS01585	WP_209387857.1		M20 peptidase aminoacylase family protein
gene-ACSAL1_RS01590	WP_209387858.1		YfcC family protein
gene-ACSAL1_RS01595	WP_014416849.1		DUF6773 family protein
gene-ACSAL1_RS01600	WP_209387859.1	amyE	alpha-amylase
gene-ACSAL1_RS01605	WP_021495277.1		L-lactate dehydrogenase
gene-ACSAL1_RS01610	WP_160216714.1		MDR family MFS transporter
gene-ACSAL1_RS01615	WP_032872770.1		MarR family transcriptional regulator
gene-ACSAL1_RS01620	WP_007409057.1		LysE family translocator
gene-ACSAL1_RS01625	WP_209387860.1		YqcI/YcgG family protein
gene-ACSAL1_RS01630	WP_029973917.1		amino acid permease
gene-ACSAL1_RS01635	WP_014416855.1		DUF1989 domain-containing protein
gene-ACSAL1_RS01640	WP_014416856.1	nadE	ammonia-dependent NAD(+) synthetase
gene-ACSAL1_RS01645	WP_007609269.1		antimicrobial peptide LCI
gene-ACSAL1_RS01650	WP_061861825.1	tmrB	tunicamycin resistance ATP-binding TmrB
gene-ACSAL1_RS01655	WP_061861826.1		sugar phosphate isomerase/epimerase family protein
gene-ACSAL1_RS01660	WP_007609271.1		MFS transporter
gene-ACSAL1_RS01665	WP_003156609.1		shikimate kinase
gene-ACSAL1_RS01670	WP_022552557.1	cah	cephalosporin C deacetylase
gene-ACSAL1_RS01675	WP_021494192.1		nucleotidyltransferase domain-containing protein
gene-ACSAL1_RS01680	WP_087920787.1		proline dehydrogenase family protein
gene-ACSAL1_RS01685	WP_021494193.1	pruA	L-glutamate gamma-semialdehyde dehydrogenase
gene-ACSAL1_RS01690	WP_076983722.1	putP	sodium/proline symporter PutP
gene-ACSAL1_RS01695	WP_021494194.1	putR	proline utilization transcriptional regulator PutR
gene-ACSAL1_RS01700			NAD(P)/FAD-dependent oxidoreductase
gene-ACSAL1_RS01705	WP_022552562.1	cobA	uroporphyrinogen-III C-methyltransferase
gene-ACSAL1_RS01710	WP_007409365.1	nirD	nitrite reductase small subunit NirD
gene-ACSAL1_RS01715	WP_209387861.1	nasD	NADPH-nitrite reductase
gene-ACSAL1_RS01720	WP_209387862.1	nasC	assimilatory nitrate reductase catalytic subunit NasC
gene-ACSAL1_RS01725	WP_209387863.1	nirB	nitrite reductase large subunit NirB
gene-ACSAL1_RS01730	WP_014416869.1		MFS transporter
gene-ACSAL1_RS01735	WP_209387864.1		GTP-binding protein
gene-ACSAL1_RS01740	WP_209387865.1		zinc-dependent alcohol dehydrogenase
gene-ACSAL1_RS01745	WP_021494203.1		RDD family protein
gene-ACSAL1_RS01750	WP_263612330.1		YckD family protein
gene-ACSAL1_RS01755	WP_209387866.1		glycoside hydrolase family 1 protein
gene-ACSAL1_RS01760	WP_007609299.1	comJ	competence protein ComJ
gene-ACSAL1_RS01765	WP_003156588.1		NucA/NucB deoxyribonuclease domain-containing protein
gene-ACSAL1_RS01770	WP_209387867.1	hxlB	6-phospho-3-hexuloisomerase
gene-ACSAL1_RS01775	WP_014416875.1	hxlA	3-hexulose-6-phosphate synthase
gene-ACSAL1_RS01780	WP_007409352.1	hxlR	transcriptional activator HxlR
gene-ACSAL1_RS01785	WP_209387868.1	srfAA	surfactin non-ribosomal peptide synthetase SrfAA
gene-ACSAL1_RS01790	WP_209387869.1	srfAB	surfactin non-ribosomal peptide synthetase SrfAB
gene-ACSAL1_RS01795	WP_209387870.1	srfAC	surfactin non-ribosomal peptide synthetase SrfAC
gene-ACSAL1_RS01800	WP_103527162.1	srfAD	surfactin biosynthesis thioesterase SrfAD
gene-ACSAL1_RS01805	WP_209387871.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
gene-ACSAL1_RS01810	WP_209387872.1		4'-phosphopantetheinyl transferase family protein
gene-ACSAL1_RS01815	WP_014416881.1		YczE/YyaS/YitT family protein
gene-ACSAL1_RS01820	WP_209387873.1	tcyC	cystine ABC transporter ATP-binding protein TcyC
gene-ACSAL1_RS01825	WP_003156375.1		amino acid ABC transporter permease
gene-ACSAL1_RS01830	WP_209387874.1	tcyA	cystine ABC transporter substrate-binding lipoprotein TcyA
gene-ACSAL1_RS01835	WP_003156371.1	bsdA	transcriptional regulator BsdA
gene-ACSAL1_RS01840	WP_104843074.1		non-oxidative hydroxyarylic acid decarboxylases subunit B
gene-ACSAL1_RS01845	WP_022552576.1	bsdC	phenolic acid decarboxylase BsdC
gene-ACSAL1_RS01850	WP_007410250.1		non-oxidative hydroxyarylic acid decarboxylases subunit D
gene-ACSAL1_RS01855	WP_209387875.1		pyridoxamine 5'-phosphate oxidase family protein
gene-ACSAL1_RS01860	WP_012116786.1		peptide MFS transporter
gene-ACSAL1_RS01865	WP_209387876.1		right-handed parallel beta-helix repeat-containing protein
gene-ACSAL1_RS01870	WP_014720711.1		YczF family membrane protein
gene-ACSAL1_RS01875	WP_022552580.1	gerKA	spore germination protein GerKA
gene-ACSAL1_RS01880	WP_209387877.1		Ger(x)C family spore germination protein
gene-ACSAL1_RS01885	WP_014416891.1	gerKB	endospore germination permease GerKB
gene-ACSAL1_RS01890	WP_209388313.1		LLM class flavin-dependent oxidoreductase
