gene_id	protein_id	gene_symbol	product
gene-ACZ0AN_RS00620	WP_020449842.1	ispF	2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase
gene-ACZ0AN_RS00625	WP_023855922.1	gltX	glutamate--tRNA ligase
gene-ACZ0AN_RS00630	WP_020449844.1	cysE	serine O-acetyltransferase
gene-ACZ0AN_RS00635	WP_035337469.1	cysS	cysteine--tRNA ligase
gene-ACZ0AN_RS00640	WP_026578984.1		Mini-ribonuclease 3
gene-ACZ0AN_RS00645	WP_023855918.1	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
gene-ACZ0AN_RS00650	WP_020449848.1	rae1	ribosome-dependent mRNA decay endonuclease Rae1/YacP
gene-ACZ0AN_RS00655	WP_003178288.1	sigH	RNA polymerase sporulation sigma factor SigH
gene-ACZ0AN_RS00660	WP_020449849.1	rpmG	50S ribosomal protein L33
gene-ACZ0AN_RS00665	WP_003178291.1	secE	preprotein translocase subunit SecE
gene-ACZ0AN_RS00670	WP_003178298.1	nusG	transcription termination/antitermination protein NusG
gene-ACZ0AN_RS00675	WP_003178300.1	rplK	50S ribosomal protein L11
gene-ACZ0AN_RS00680	WP_020449850.1	rplA	50S ribosomal protein L1
gene-ACZ0AN_RS00685	WP_003178304.1	rplJ	50S ribosomal protein L10
gene-ACZ0AN_RS00690	WP_003178305.1	rplL	50S ribosomal protein L7/L12
gene-ACZ0AN_RS00695	WP_035337477.1		class I SAM-dependent methyltransferase
gene-ACZ0AN_RS00700	WP_020449852.1	rpoB	DNA-directed RNA polymerase subunit beta
gene-ACZ0AN_RS00705	WP_039073334.1	rpoC	DNA-directed RNA polymerase subunit beta'
gene-ACZ0AN_RS00710	WP_023855916.1		50S ribosomal protein L7ae-like protein
gene-ACZ0AN_RS00715	WP_020449855.1	rpsL	30S ribosomal protein S12
gene-ACZ0AN_RS00720	WP_003178317.1	rpsG	30S ribosomal protein S7
gene-ACZ0AN_RS00725	WP_023855914.1	fusA	elongation factor G
gene-ACZ0AN_RS00730	WP_023855913.1	tuf	elongation factor Tu
gene-ACZ0AN_RS00735	WP_003156464.1	rpsJ	30S ribosomal protein S10
gene-ACZ0AN_RS00740	WP_020449858.1	rplC	50S ribosomal protein L3
gene-ACZ0AN_RS00745	WP_020449859.1	rplD	50S ribosomal protein L4
gene-ACZ0AN_RS00750	WP_020449860.1	rplW	50S ribosomal protein L23
gene-ACZ0AN_RS00755	WP_020449861.1	rplB	50S ribosomal protein L2
gene-ACZ0AN_RS00760	WP_003178334.1	rpsS	30S ribosomal protein S19
gene-ACZ0AN_RS00765	WP_020449862.1	rplV	50S ribosomal protein L22
gene-ACZ0AN_RS00770	WP_023855912.1	rpsC	30S ribosomal protein S3
gene-ACZ0AN_RS00775	WP_020449863.1	rplP	50S ribosomal protein L16
gene-ACZ0AN_RS00780	WP_003178343.1	rpmC	50S ribosomal protein L29
gene-ACZ0AN_RS00785	WP_003178345.1	rpsQ	30S ribosomal protein S17
gene-ACZ0AN_RS00790	WP_020449864.1	rplN	50S ribosomal protein L14
gene-ACZ0AN_RS00795	WP_003178350.1	rplX	50S ribosomal protein L24
gene-ACZ0AN_RS00800	WP_020449865.1	rplE	50S ribosomal protein L5
gene-ACZ0AN_RS00805	WP_003178353.1	rpsN	30S ribosomal protein S14
gene-ACZ0AN_RS00810	WP_003178355.1	rpsH	30S ribosomal protein S8
gene-ACZ0AN_RS00815	WP_003178356.1	rplF	50S ribosomal protein L6
gene-ACZ0AN_RS00820	WP_020449866.1	rplR	50S ribosomal protein L18
gene-ACZ0AN_RS00825	WP_023855910.1	rpsE	30S ribosomal protein S5
gene-ACZ0AN_RS00830	WP_020449868.1	rpmD	50S ribosomal protein L30
gene-ACZ0AN_RS00835	WP_020449869.1	rplO	50S ribosomal protein L15
gene-ACZ0AN_RS00840	WP_020449870.1	secY	preprotein translocase subunit SecY
gene-ACZ0AN_RS00845	WP_020449871.1		adenylate kinase
gene-ACZ0AN_RS00850	WP_023855909.1	map	type I methionyl aminopeptidase
gene-ACZ0AN_RS00855	WP_023855908.1		KOW domain-containing RNA-binding protein
gene-ACZ0AN_RS00860	WP_003178377.1	infA	translation initiation factor IF-1
gene-ACZ0AN_RS00865	WP_003156543.1	rpmJ	50S ribosomal protein L36
gene-ACZ0AN_RS00870	WP_003178378.1	rpsM	30S ribosomal protein S13
gene-ACZ0AN_RS00875	WP_020449874.1	rpsK	30S ribosomal protein S11
gene-ACZ0AN_RS00880	WP_020449875.1		DNA-directed RNA polymerase subunit alpha
gene-ACZ0AN_RS00885	WP_020449876.1	rplQ	50S ribosomal protein L17
gene-ACZ0AN_RS00890	WP_318602724.1		energy-coupling factor ABC transporter ATP-binding protein
gene-ACZ0AN_RS00895	WP_328038350.1		energy-coupling factor ABC transporter ATP-binding protein
gene-ACZ0AN_RS00900	WP_023855906.1		energy-coupling factor transporter transmembrane component T family protein
gene-ACZ0AN_RS00905	WP_025810423.1	truA	tRNA pseudouridine(38-40) synthase TruA
gene-ACZ0AN_RS00910	WP_003178393.1	rplM	50S ribosomal protein L13
gene-ACZ0AN_RS00915	WP_023855904.1	rpsI	30S ribosomal protein S9
gene-ACZ0AN_RS00920			DinB family protein
gene-ACZ0AN_RS00925	WP_039073333.1		SMI1/KNR4 family protein
gene-ACZ0AN_RS00930	WP_023855901.1		YbaK family protein
gene-ACZ0AN_RS00935	WP_023855900.1	cwlD	N-acetylmuramoyl-L-alanine amidase CwlD
gene-ACZ0AN_RS00940	WP_020449903.1		Mrp/NBP35 family ATP-binding protein
gene-ACZ0AN_RS00945	WP_023855899.1	gerD	spore germination lipoprotein GerD
gene-ACZ0AN_RS00950	WP_020449905.1		KinB-signaling pathway activation protein
gene-ACZ0AN_RS00955	WP_026578978.1	pdaB	polysaccharide deacetylase family sporulation protein PdaB
gene-ACZ0AN_RS00985	WP_095292687.1		serine hydrolase domain-containing protein
gene-ACZ0AN_RS00990	WP_020449908.1		hypothetical protein
gene-ACZ0AN_RS00995	WP_095292699.1		bile acid:sodium symporter family protein
gene-ACZ0AN_RS01000	WP_026580420.1		DUF5391 family protein
gene-ACZ0AN_RS01005	WP_025810886.1		PhzF family phenazine biosynthesis protein
gene-ACZ0AN_RS01010	WP_026580422.1		exo-beta-N-acetylmuramidase NamZ family protein
gene-ACZ0AN_RS01015	WP_026580423.1		glycoside hydrolase family 3 protein
gene-ACZ0AN_RS01020	WP_095292693.1	pbp4b	penicillin binding protein PBP4B
gene-ACZ0AN_RS01025	WP_020449915.1		PTS transporter subunit EIIC
gene-ACZ0AN_RS01030	WP_023857680.1		MurR/RpiR family transcriptional regulator
gene-ACZ0AN_RS01035	WP_095292696.1	murQ	N-acetylmuramic acid 6-phosphate etherase
gene-ACZ0AN_RS01040	WP_026580428.1		2-thiouracil desulfurase family protein
gene-ACZ0AN_RS01070	WP_025810878.1	rocF	arginase
gene-ACZ0AN_RS01075	WP_003178438.1	sigW	RNA polymerase sigma factor SigW
gene-ACZ0AN_RS01080	WP_023857683.1	rsiW	anti-sigma-W factor RsiW
gene-ACZ0AN_RS01085	WP_003178443.1	cdaA	diadenylate cyclase CdaA
gene-ACZ0AN_RS01090	WP_025810877.1		CdaR family protein
gene-ACZ0AN_RS01095	WP_023857685.1	glmM	phosphoglucosamine mutase
gene-ACZ0AN_RS01100	WP_023857686.1	glmS	glutamine--fructose-6-phosphate transaminase (isomerizing)
gene-ACZ0AN_RS01105	WP_145608041.1		YaaC family protein
gene-ACZ0AN_RS01110	WP_145608040.1		DNA methyltransferase
gene-ACZ0AN_RS01115	WP_145608044.1		ATP-binding protein
gene-ACZ0AN_RS01120	WP_463315606.1		hypothetical protein
gene-ACZ0AN_RS01125	WP_026585626.1		ArsR/SmtB family transcription factor
gene-ACZ0AN_RS01130	WP_026585627.1		MFS transporter
gene-ACZ0AN_RS01135	WP_145608037.1		DinB family protein
gene-ACZ0AN_RS01140	WP_023857699.1		lantibiotic protection ABC transporter ATP-binding protein
gene-ACZ0AN_RS01145	WP_026580431.1		lantibiotic immunity ABC transporter MutE/EpiE family permease subunit
gene-ACZ0AN_RS01150	WP_023857701.1		lantibiotic immunity ABC transporter MutG family permease subunit
gene-ACZ0AN_RS01155	WP_023857702.1		response regulator transcription factor
gene-ACZ0AN_RS01160	WP_023857703.1		sensor histidine kinase
gene-ACZ0AN_RS01165	WP_463315607.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS01170	WP_463315608.1		DsbA family oxidoreductase
gene-ACZ0AN_RS01175	WP_463315609.1		hypothetical protein
gene-ACZ0AN_RS01180			hypothetical protein
gene-ACZ0AN_RS01185	WP_103750373.1		erythromycin esterase family protein
gene-ACZ0AN_RS01190	WP_186440099.1		hypothetical protein
gene-ACZ0AN_RS01195	WP_463315610.1		aminoglycoside 6-adenylyltransferase
gene-ACZ0AN_RS01200	WP_463315611.1		aminoglycoside phosphotransferase family protein
gene-ACZ0AN_RS01205	WP_463315612.1		YjjG family noncanonical pyrimidine nucleotidase
gene-ACZ0AN_RS01210	WP_463315613.1		alpha/beta fold hydrolase
gene-ACZ0AN_RS01215	WP_079289384.1		LysR family transcriptional regulator
gene-ACZ0AN_RS01220	WP_105980642.1		ATP-grasp domain-containing protein
gene-ACZ0AN_RS01225	WP_105980643.1		MDR family MFS transporter
gene-ACZ0AN_RS01230	WP_105980644.1		sporulation protein
gene-ACZ0AN_RS01235	WP_003178500.1		YbxH family protein
gene-ACZ0AN_RS01240	WP_039073125.1		hypothetical protein
gene-ACZ0AN_RS01245	WP_463315614.1		thioredoxin domain-containing protein
gene-ACZ0AN_RS01250	WP_043054026.1		hypothetical protein
gene-ACZ0AN_RS01255	WP_026580436.1		hypothetical protein
gene-ACZ0AN_RS01260	WP_105980667.1		class I SAM-dependent methyltransferase
gene-ACZ0AN_RS01265	WP_145645951.1		pyridoxal phosphate-dependent decarboxylase family protein
gene-ACZ0AN_RS01270	WP_020449953.1		nitroreductase family protein
gene-ACZ0AN_RS01275	WP_035339256.1		GntR family transcriptional regulator
gene-ACZ0AN_RS01280	WP_020449955.1		sulfite exporter TauE/SafE family protein
gene-ACZ0AN_RS01285	WP_145645954.1		SDR family oxidoreductase
gene-ACZ0AN_RS01290	WP_223254829.1		hypothetical protein
gene-ACZ0AN_RS01295	WP_103750363.1		SdpI family protein
gene-ACZ0AN_RS01300	WP_020449959.1		Na/Pi cotransporter family protein
gene-ACZ0AN_RS01305	WP_020449960.1		YiaA/YiaB family inner membrane protein
gene-ACZ0AN_RS01310	WP_026580443.1		hypothetical protein
gene-ACZ0AN_RS01315	WP_023857730.1		hypothetical protein
gene-ACZ0AN_RS01320	WP_023857731.1		hypothetical protein
gene-ACZ0AN_RS01325	WP_065643396.1		glycoside hydrolase domain-containing protein
gene-ACZ0AN_RS01330	WP_065643395.1		DUF2000 domain-containing protein
gene-ACZ0AN_RS01335	WP_050820841.1		DMT family transporter
gene-ACZ0AN_RS01340	WP_023857734.1		AraC family ligand binding domain-containing protein
gene-ACZ0AN_RS01345	WP_065643394.1		helix-turn-helix domain-containing protein
gene-ACZ0AN_RS01350	WP_240681827.1		helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS01355	WP_081303458.1		class I SAM-dependent methyltransferase
gene-ACZ0AN_RS01360	WP_065643393.1		saccharopine dehydrogenase family protein
gene-ACZ0AN_RS01365	WP_065643392.1		iron-containing alcohol dehydrogenase family protein
gene-ACZ0AN_RS01370	WP_023857740.1		SurA N-terminal domain-containing protein
gene-ACZ0AN_RS01375	WP_035337384.1		sulfotransferase family 2 domain-containing protein
gene-ACZ0AN_RS01380	WP_065643390.1		Vgb family protein
gene-ACZ0AN_RS01385	WP_003178548.1		DUF2512 family protein
gene-ACZ0AN_RS01390	WP_065643389.1	mmuP	S-methylmethionine permease
gene-ACZ0AN_RS01395	WP_023857745.1	mmuM	homocysteine S-methyltransferase
gene-ACZ0AN_RS01400	WP_023857746.1	chbG	chitin disaccharide deacetylase
gene-ACZ0AN_RS01405	WP_463315615.1		PTS transporter subunit EIIC
gene-ACZ0AN_RS01410	WP_025810841.1		MerR family transcriptional regulator
gene-ACZ0AN_RS01415	WP_020449980.1		DUF421 domain-containing protein
gene-ACZ0AN_RS01420	WP_020449981.1		gamma carbonic anhydrase family protein
gene-ACZ0AN_RS01425	WP_261379681.1		hypothetical protein
gene-ACZ0AN_RS01430	WP_035337363.1		ribosomal maturation YjgA family protein
gene-ACZ0AN_RS01435	WP_020449985.1		alanine/glycine:cation symporter family protein
gene-ACZ0AN_RS01440	WP_020449986.1		glutaminase
gene-ACZ0AN_RS01445	WP_039073141.1		sensor histidine kinase
gene-ACZ0AN_RS01450	WP_020449988.1		DNA-binding domain-containing protein
gene-ACZ0AN_RS01455	WP_020449989.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS01460	WP_020449990.1		BlaR1 family beta-lactam sensor/signal transducer
gene-ACZ0AN_RS01465	WP_020449991.1		BlaI/MecI/CopY family transcriptional regulator
gene-ACZ0AN_RS01470	WP_023857755.1	blaP	class A beta-lactamase BlaP
gene-ACZ0AN_RS01475	WP_143261176.1		alkaline phosphatase D family protein
gene-ACZ0AN_RS01480	WP_020449994.1		twin-arginine translocase TatA/TatE family subunit
gene-ACZ0AN_RS01485	WP_145645851.1	tatC	twin-arginine translocase subunit TatC
gene-ACZ0AN_RS01490	WP_020449996.1	kdgD	5-dehydro-4-deoxyglucarate dehydratase
gene-ACZ0AN_RS01495	WP_277868547.1	gucD	alpha-ketoglutaric semialdehyde dehydrogenase GucD
gene-ACZ0AN_RS01500	WP_429674033.1		MFS transporter
gene-ACZ0AN_RS01505	WP_212110290.1	gudD	glucarate dehydratase
gene-ACZ0AN_RS01510	WP_154495802.1		FadR/GntR family transcriptional regulator
gene-ACZ0AN_RS01515	WP_463315616.1	garD	galactarate dehydratase
gene-ACZ0AN_RS01520	WP_075213479.1		lipoprotein YvcA
gene-ACZ0AN_RS01525	WP_025810827.1		DUF6792 domain-containing protein
gene-ACZ0AN_RS01530	WP_020450003.1		hypothetical protein
gene-ACZ0AN_RS01535	WP_463315705.1		response regulator transcription factor
gene-ACZ0AN_RS01540	WP_035337350.1		sensor histidine kinase
gene-ACZ0AN_RS01545	WP_020450006.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS01550	WP_020450007.1		ABC transporter permease
gene-ACZ0AN_RS01555	WP_020450008.1		ABC transporter permease
gene-ACZ0AN_RS01560	WP_020450009.1		DUF3900 domain-containing protein
gene-ACZ0AN_RS01565	WP_095292802.1		DUF4885 domain-containing protein
gene-ACZ0AN_RS01570	WP_103750347.1		macrolide 2'-phosphotransferase
gene-ACZ0AN_RS01575	WP_095292867.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS01580	WP_039073148.1		class I adenylate-forming enzyme family protein
gene-ACZ0AN_RS01585	WP_023857768.1		serpin family protein
gene-ACZ0AN_RS01590	WP_023857769.1		PPC domain-containing protein
gene-ACZ0AN_RS01595	WP_020450016.1		DUF4885 family protein
gene-ACZ0AN_RS01600	WP_020450017.1		MerR family transcriptional regulator
gene-ACZ0AN_RS01605	WP_023857771.1		hypothetical protein
gene-ACZ0AN_RS01610	WP_020450018.1		PadR family transcriptional regulator
gene-ACZ0AN_RS01615	WP_020450019.1		DUF2812 domain-containing protein
gene-ACZ0AN_RS01620	WP_035337337.1		tryptophan RNA-binding attenuator protein inhibitory protein
gene-ACZ0AN_RS01625	WP_023857775.1		DMT family transporter
gene-ACZ0AN_RS01630	WP_020450023.1		YecA family protein
gene-ACZ0AN_RS01635	WP_020450024.1		lantibiotic protection ABC transporter ATP-binding protein
gene-ACZ0AN_RS01640	WP_216921597.1		lantibiotic immunity ABC transporter MutE/EpiE family permease subunit
gene-ACZ0AN_RS01645	WP_020450026.1		lantibiotic immunity ABC transporter MutG family permease subunit
gene-ACZ0AN_RS01650	WP_020450027.1		response regulator transcription factor
gene-ACZ0AN_RS01655	WP_020450028.1		sensor histidine kinase
gene-ACZ0AN_RS01660	WP_219192392.1		LysR family transcriptional regulator
gene-ACZ0AN_RS01665	WP_065643673.1		tautomerase family protein
gene-ACZ0AN_RS01670	WP_065643674.1		SDR family NAD(P)-dependent oxidoreductase
gene-ACZ0AN_RS01675	WP_065643675.1		class I SAM-dependent methyltransferase
gene-ACZ0AN_RS01680	WP_463315617.1		DUF4352 domain-containing protein
gene-ACZ0AN_RS01685	WP_103750344.1		YfcC family protein
gene-ACZ0AN_RS01690	WP_020450035.1		M20 family metallopeptidase
gene-ACZ0AN_RS01695	WP_025810810.1		type II asparaginase
gene-ACZ0AN_RS01700	WP_020450037.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS01705	WP_020450038.1		amidase
gene-ACZ0AN_RS01710	WP_048350147.1	pepF	oligoendopeptidase F
gene-ACZ0AN_RS01715	WP_017474015.1		GlsB/YeaQ/YmgE family stress response membrane protein
gene-ACZ0AN_RS01720	WP_023857783.1		serine hydrolase
gene-ACZ0AN_RS01725	WP_103750342.1		(Fe-S)-binding protein
gene-ACZ0AN_RS01730	WP_103750341.1	glcD	glycolate oxidase subunit GlcD
gene-ACZ0AN_RS01735	WP_023857786.1		PTS sugar transporter subunit IIB
gene-ACZ0AN_RS01740	WP_020450044.1		PTS lactose/cellobiose transporter subunit IIA
gene-ACZ0AN_RS01745	WP_020450045.1	celB	PTS cellobiose transporter subunit IIC
gene-ACZ0AN_RS01750	WP_103750340.1		6-phospho-beta-glucosidase
gene-ACZ0AN_RS01755	WP_020450047.1		GntR family transcriptional regulator
gene-ACZ0AN_RS01760	WP_023857788.1	chbG	chitin disaccharide deacetylase
gene-ACZ0AN_RS01765	WP_394798542.1		glycosyl hydrolase family 18 protein
gene-ACZ0AN_RS01770	WP_079289378.1		glycosyl hydrolase family 18 protein
gene-ACZ0AN_RS01775	WP_023857791.1		trypsin-like serine peptidase
gene-ACZ0AN_RS01780	WP_039073164.1		glucose 1-dehydrogenase
gene-ACZ0AN_RS01785	WP_043054038.1		DUF1835 domain-containing protein
gene-ACZ0AN_RS01790	WP_079289379.1		YcdB/YcdC domain-containing protein
gene-ACZ0AN_RS01795	WP_035339249.1		sulfurtransferase
gene-ACZ0AN_RS01800	WP_023857795.1		cell wall hydrolase
gene-ACZ0AN_RS01805	WP_241838258.1		LLM class flavin-dependent oxidoreductase
gene-ACZ0AN_RS01810	WP_023857797.1		C40 family peptidase
gene-ACZ0AN_RS01815	WP_023857798.1		ABC transporter permease subunit
gene-ACZ0AN_RS01820	WP_145645686.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS01825	WP_023857800.1		TetR/AcrR family transcriptional regulator
gene-ACZ0AN_RS01830	WP_035337304.1		DUF2207 domain-containing protein
gene-ACZ0AN_RS01835	WP_035337301.1		DUF4188 domain-containing protein
gene-ACZ0AN_RS01840	WP_035337296.1		PadR family transcriptional regulator
gene-ACZ0AN_RS01845	WP_020450063.1		TerD family protein
gene-ACZ0AN_RS01850	WP_020450064.1		TerD family protein
gene-ACZ0AN_RS01855	WP_020450065.1		TerD family protein
gene-ACZ0AN_RS01860	WP_020450066.1		TerC family protein
gene-ACZ0AN_RS01865	WP_020450067.1		HpcH/HpaI aldolase/citrate lyase family protein
gene-ACZ0AN_RS01870	WP_003178729.1		helix-turn-helix domain-containing protein
gene-ACZ0AN_RS01875	WP_035337292.1		YceG family protein
gene-ACZ0AN_RS01880	WP_020450069.1		toxic anion resistance protein
