ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product
WP_007610941.1	WP_020451134.1	gene-ACSAL1_RS06880	-3.587327010368884	gene-ACZ0AN_RS07520	-1.0408795409147296	conserved_down		methylated-DNA--[protein]-cysteine S-methyltransferase		methylated-DNA--[protein]-cysteine S-methyltransferase
WP_014418069.1	WP_105980986.1	gene-ACSAL1_RS09475	-4.471973670319692	gene-ACZ0AN_RS10320	2.4994008690485368	opposite		DUF1360 domain-containing protein		DUF1360 domain-containing protein
WP_017417453.1	WP_080131317.1	gene-ACSAL1_RS05805	-4.680521267366401	gene-ACZ0AN_RS06465	-1.70289199449179	conserved_down	oppF	oligopeptide ABC transporter ATP-binding protein OppF		ABC transporter ATP-binding protein
WP_109567373.1	WP_020451965.1	gene-ACSAL1_RS10680	-1.9607682639023825	gene-ACZ0AN_RS12120	1.2269881345414242	opposite		hypothetical protein		hypothetical protein
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down		glycosyltransferase family 4 protein		glycosyltransferase family 4 protein
WP_209388097.1	WP_020450931.1	gene-ACSAL1_RS05785	-4.369237861431171	gene-ACZ0AN_RS06445	-2.610654489631579	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein
WP_007613450.1	WP_020452803.1	gene-ACSAL1_RS14780	-1.8518160257324656	gene-ACZ0AN_RS16940	3.537804541539622	opposite		HD domain-containing protein		HD domain-containing protein
WP_017419515.1	WP_033155020.1	gene-ACSAL1_RS14365	-2.2543819786072805	gene-ACZ0AN_RS16445	1.392523338543379	opposite		DinB family protein		DinB family protein
WP_209388040.1	WP_051303785.1	gene-ACSAL1_RS04685	1.0414677784500952	gene-ACZ0AN_RS05040	-1.0575515202674095	opposite		hypothetical protein		hypothetical protein
WP_209388124.1	WP_003182594.1	gene-ACSAL1_RS06220	2.5594604962055274	gene-ACZ0AN_RS11030	-1.52780665734131	opposite		YjfB family protein		YjfB family protein
WP_209388340.1	WP_463315652.1	gene-ACSAL1_RS09565	-2.7945049267147444	gene-ACZ0AN_RS05175	1.1004179769627962	opposite		zinc-binding dehydrogenase		quinone oxidoreductase family protein
WP_003156206.1	WP_023857876.1	gene-ACSAL1_RS02425	7.9326499189938176	gene-ACZ0AN_RS02760	-1.6792513251474843	opposite	fbpB	Fur-regulated basic protein FbpB	fbpB	Fur-regulated basic protein FbpB
WP_007409608.1	WP_165583461.1	gene-ACSAL1_RS07130	1.8450025743937128	gene-ACZ0AN_RS07825	2.533535383968431	conserved_up		hypothetical protein		hypothetical protein
WP_007410318.1	WP_020451611.1	gene-ACSAL1_RS09210	-1.0729569290233014	gene-ACZ0AN_RS10170	3.0305621939608693	opposite		HesB/YadR/YfhF family protein		HesB/YadR/YfhF family protein
WP_014418226.1	WP_020451906.1	gene-ACSAL1_RS10335	2.374750587949929	gene-ACZ0AN_RS11770	-1.960687448398598	opposite		hypothetical protein		hypothetical protein
WP_014418701.1	WP_020452681.1	gene-ACSAL1_RS14130	-3.951984887906128	gene-ACZ0AN_RS16155	-2.711653419295993	conserved_down		FixH family protein		FixH family protein
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite	gbsR	transcriptional regulator GbsR	cudC	choline uptake/conversion transcriptional regulator CudC
WP_209387815.1	WP_095293084.1	gene-ACSAL1_RS00350	2.688175189689999	gene-ACZ0AN_RS00365	-1.0842081557662198	opposite		putative polysaccharide biosynthesis protein		putative polysaccharide biosynthesis protein
WP_209387851.1	WP_463315617.1	gene-ACSAL1_RS01475	1.6324063816200225	gene-ACZ0AN_RS01680	-2.381338331948041	opposite		DUF5105 domain-containing protein		DUF4352 domain-containing protein
WP_209388068.1	WP_003180341.1	gene-ACSAL1_RS05300	-1.1396719652030278	gene-ACZ0AN_RS05785	-3.547532508357943	conserved_down		ABC transporter substrate-binding protein		ABC transporter substrate-binding protein
WP_003153229.1	WP_463315567.1	gene-ACSAL1_RS11345	-1.6740983551861546	gene-ACZ0AN_RS12935	-4.8994849241551215	conserved_down	artM	arginine ABC transporter ATP-binding protein ArtM		amino acid ABC transporter ATP-binding protein
WP_003153246.1	WP_003183271.1	gene-ACSAL1_RS11280	-2.024361599075449	gene-ACZ0AN_RS12830	1.683032903131903	opposite	rpmG	50S ribosomal protein L33	rpmG	50S ribosomal protein L33
WP_014418573.1	WP_023855442.1	gene-ACSAL1_RS12990	1.752706220236102	gene-ACZ0AN_RS15070	-1.57885749075382	opposite		GerMN domain-containing protein		GerMN domain-containing protein
WP_021493826.1	WP_103749038.1	gene-ACSAL1_RS06495	2.7745743682146844	gene-ACZ0AN_RS07020	1.141918603552586	conserved_up		baseplate J/gp47 family protein		baseplate J/gp47 family protein
WP_021494398.1	WP_023855436.1	gene-ACSAL1_RS12935	-2.5752707188524626	gene-ACZ0AN_RS15005	1.6835178236565316	opposite		2-isopropylmalate synthase		2-isopropylmalate synthase
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite		iron ABC transporter ATP-binding protein		iron ABC transporter ATP-binding protein
WP_209387897.1	WP_020451129.1	gene-ACSAL1_RS02175	-1.9096990013062256	gene-ACZ0AN_RS07495	-2.034741719174001	conserved_down		penicillin-binding transpeptidase domain-containing protein		penicillin-binding transpeptidase domain-containing protein
WP_007407725.1	WP_020453376.1	gene-ACSAL1_RS18105	1.055493459706895	gene-ACZ0AN_RS20155	2.047636993162536	conserved_up		CidA/LrgA family holin-like protein		CidA/LrgA family holin-like protein
WP_007408461.1	WP_020451149.1	gene-ACSAL1_RS06945	4.554990244619121	gene-ACZ0AN_RS07600	1.2757454494222562	conserved_up	motA	flagellar motor stator protein MotA	motA	flagellar motor stator protein MotA
WP_007408834.1	WP_020452679.1	gene-ACSAL1_RS14115	1.1379603923857866	gene-ACZ0AN_RS16140	1.5694256768369166	conserved_up		phage holin family protein		phage holin family protein
WP_007408838.1	WP_020452683.1	gene-ACSAL1_RS14140	1.5588046817683694	gene-ACZ0AN_RS16165	1.7022208971195518	conserved_up	yidD	membrane protein insertion efficiency factor YidD	yidD	membrane protein insertion efficiency factor YidD
WP_007409202.1	WP_039072636.1	gene-ACSAL1_RS05280	-7.186396071002923	gene-ACZ0AN_RS05745	1.5113821695313574	opposite		fatty acid--CoA ligase family protein		fatty acid--CoA ligase family protein
WP_007409265.1	WP_020450740.1	gene-ACSAL1_RS04910	1.0249219112974963	gene-ACZ0AN_RS05330	-1.5719943229369508	opposite		lysophospholipid acyltransferase family protein		lysophospholipid acyltransferase family protein
WP_014417624.1	WP_020451220.1	gene-ACSAL1_RS07280	-2.992597824096704	gene-ACZ0AN_RS08005	-1.8572633755859416	conserved_down	yknW	YknW family membrane protein	yknW	YknW family membrane protein
WP_014419084.1	WP_020453225.1	gene-ACSAL1_RS17200	-2.552460447470357	gene-ACZ0AN_RS19340	-1.0552941587939886	conserved_down	spoIIQ	stage II sporulation protein SpoIIQ		M23 family metallopeptidase
WP_015239834.1	WP_080131361.1	gene-ACSAL1_RS07965	1.070173059097868	gene-ACZ0AN_RS08675	-2.783154204561614	opposite		precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase family protein		precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase family protein
WP_029973465.1	WP_035338769.1	gene-ACSAL1_RS08295	4.211365065011884	gene-ACZ0AN_RS08995	3.1360969960722347	conserved_up	flgD	flagellar hook assembly protein FlgD	flgD	flagellar hook assembly protein FlgD
WP_032873891.1	WP_079289159.1	gene-ACSAL1_RS12430	3.715114580233618	gene-ACZ0AN_RS14480	-1.5830758633695157	opposite		O-acetylserine dependent cystathionine beta-synthase		PLP-dependent cysteine synthase family protein
WP_003153380.1	WP_023857487.1	gene-ACSAL1_RS10865	2.402908299771456	gene-ACZ0AN_RS12345	1.2553401257702768	conserved_up		DUF3907 family protein		YpuI family protein
WP_003153848.1	WP_023857512.1	gene-ACSAL1_RS09535	-1.6012744725846353	gene-ACZ0AN_RS10590	2.056815292975994	opposite		excisionase family DNA-binding protein		excisionase family DNA-binding protein
WP_014305189.1	WP_059230589.1	gene-ACSAL1_RS09710	6.246388519655356	gene-ACZ0AN_RS10995	3.5988982712916973	conserved_up		N-acetyltransferase		GNAT family protein
WP_209388293.1	WP_095292208.1	gene-ACSAL1_RS09315	-1.26776836309052	gene-ACZ0AN_RS17975	-3.3996738742288177	conserved_down		alpha/beta hydrolase		alpha/beta fold hydrolase
WP_007613932.1	WP_025810730.1	gene-ACSAL1_RS16145	-3.1654835611560204	gene-ACZ0AN_RS18300	-6.504156675798009	conserved_down		YveK family protein		YveK family protein
WP_007614174.1	WP_023857158.1	gene-ACSAL1_RS16870	3.820635373010996	gene-ACZ0AN_RS19035	2.615495576218596	conserved_up		CapA family protein		CapA family protein
WP_011996172.1	WP_003178189.1	gene-ACSAL1_RS00290	-1.093957039424568	gene-ACZ0AN_RS00305	2.127714824064673	opposite		small%2C acid-soluble spore protein%2C alpha/beta type		small%2C acid-soluble spore protein%2C alpha/beta type
WP_095060687.1	WP_463315716.1	gene-ACSAL1_RS09840	-2.098432220825613	gene-ACZ0AN_RS11320	2.124236480134237	opposite		superoxide dismutase family protein		superoxide dismutase family protein
WP_003150818.1	WP_020453462.1	gene-ACSAL1_RS18360	-1.899980466724842	gene-ACZ0AN_RS20610	3.092006824696252	opposite		YitT family protein		YitT family protein
WP_012117061.1	WP_023856657.1	gene-ACSAL1_RS03870	-1.4975874896517312	gene-ACZ0AN_RS06500	1.751423180960942	opposite		tripartite tricarboxylate transporter substrate binding protein		tripartite tricarboxylate transporter substrate binding protein
WP_014417719.1	WP_145685923.1	gene-ACSAL1_RS07775	1.0100593211871682	gene-ACZ0AN_RS08460	-1.7440772675643292	opposite	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
WP_160183220.1	WP_023857026.1	gene-ACSAL1_RS17925	2.8839565205323328	gene-ACZ0AN_RS19925	-1.7715700718954217	opposite		YwdI family protein		YwdI family protein
WP_209387827.1	WP_020450112.1	gene-ACSAL1_RS01035	1.839758709499272	gene-ACZ0AN_RS02100	-3.146216833642523	opposite		alpha/beta hydrolase		alpha/beta hydrolase
WP_003153733.1	WP_103749529.1	gene-ACSAL1_RS09900	3.0734462598200563	gene-ACZ0AN_RS14180	2.4121072601339217	conserved_up		tautomerase family protein		tautomerase family protein
WP_003156467.1	WP_020449860.1	gene-ACSAL1_RS00740	-1.0067355596969187	gene-ACZ0AN_RS00750	-1.2166084671752428	conserved_down	rplW	50S ribosomal protein L23	rplW	50S ribosomal protein L23
WP_007613018.1	WP_145645883.1	gene-ACSAL1_RS13215	1.95752203293045	gene-ACZ0AN_RS15300	2.429749322137207	conserved_up		DUF1294 domain-containing protein		DUF1294 domain-containing protein
WP_094031586.1	WP_020450573.1	gene-ACSAL1_RS04045	2.11865860217245	gene-ACZ0AN_RS04340	3.79963517696676	conserved_up		YfkD famly protein		YfkD famly protein
WP_209387319.1	WP_463315702.1	gene-ACSAL1_RS09495	-6.796985221757411	gene-ACZ0AN_RS10645	-7.180965380102754	conserved_down		non-ribosomal peptide synthetase		amino acid adenylation domain-containing protein
WP_209388013.1	WP_023855891.1	gene-ACSAL1_RS04145	-13.324400098800346	gene-ACZ0AN_RS04470	3.461212273905089	opposite	acoB	acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit beta		alpha-ketoacid dehydrogenase subunit beta
WP_209388057.1	WP_463315656.1	gene-ACSAL1_RS04995	-1.5539544197770336	gene-ACZ0AN_RS05460	-2.870280723913922	conserved_down	bmrC	multidrug ABC transporter ATP-binding protein BmrC	bmrC	ABC transporter ATP-binding protein
WP_003155070.1	WP_003180573.1	gene-ACSAL1_RS05700	-2.72449463230394	gene-ACZ0AN_RS06350	1.6545442789480669	opposite		YjzC family protein		YjzC family protein
WP_015418422.1	WP_103749414.1	gene-ACSAL1_RS17435	-5.004627658044479	gene-ACZ0AN_RS19640	-2.127138649156496	conserved_down	racA	chromosome-anchoring protein RacA	racA	chromosome-anchoring protein RacA
WP_017417889.1	WP_026579579.1	gene-ACSAL1_RS09290	-1.6808120499434709	gene-ACZ0AN_RS10900	1.6449506815226274	opposite		DUF4166 domain-containing protein		DUF4166 domain-containing protein
WP_029973761.1	WP_039073309.1	gene-ACSAL1_RS03235	-1.0072021226718155	gene-ACZ0AN_RS03365	-3.1114435340054176	conserved_down		SPFH domain-containing protein		SPFH domain-containing protein
WP_003156488.1	WP_003178353.1	gene-ACSAL1_RS00795	-1.1374279288119666	gene-ACZ0AN_RS00805	-1.2935160136862636	conserved_down	rpsN	30S ribosomal protein S14	rpsN	30S ribosomal protein S14
WP_007407552.1	WP_095291488.1	gene-ACSAL1_RS17070	-1.8588800849433795	gene-ACZ0AN_RS19135	-2.8540330460219736	conserved_down	tkmA	protein-tyrosine kinase activator TkmA		YveK family protein
WP_007408154.1	WP_020452464.1	gene-ACSAL1_RS12875	1.0920183915140562	gene-ACZ0AN_RS14945	1.1520684186899444	conserved_up		cytochrome c biogenesis protein		cytochrome c biogenesis protein
WP_017417653.1	WP_146873438.1	gene-ACSAL1_RS06950	-1.4277974193696534	gene-ACZ0AN_RS07605	-2.178227870588532	conserved_down	clpE	ATP-dependent protease ATP-binding subunit ClpE		ATP-dependent Clp protease ATP-binding subunit
WP_021493417.1	WP_020451596.1	gene-ACSAL1_RS09125	1.833529614785592	gene-ACZ0AN_RS10075	-1.405945687121161	opposite	sirA	sporulation inhibitor of replication protein SirA	sirA	sporulation inhibitor of replication protein SirA
WP_022553314.1	WP_023855720.1	gene-ACSAL1_RS08780	-1.4905969501394731	gene-ACZ0AN_RS10865	-1.0408375927806186	conserved_down	aprX	serine protease AprX		S8 family peptidase
WP_209387365.1	WP_020452730.1	gene-ACSAL1_RS19490	-4.956804417139788	gene-ACZ0AN_RS16510	1.3086611866477478	opposite		HNH endonuclease		HNH endonuclease signature motif containing protein
WP_209387446.1	WP_145645246.1	gene-ACSAL1_RS12160	2.890957105996548	gene-ACZ0AN_RS13845	1.1609876763693523	conserved_up		DNA internalization-related competence protein ComEC/Rec2		DNA internalization-related competence protein ComEC/Rec2
WP_209388060.1	WP_020450901.1	gene-ACSAL1_RS05060	1.8690377668563247	gene-ACZ0AN_RS06210	-5.611823325934181	opposite		lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein		lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
WP_003151340.1	WP_003185831.1	gene-ACSAL1_RS16875	4.035579409374109	gene-ACZ0AN_RS19040	2.6565147089535497	conserved_up	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	pgsC	poly-gamma-glutamate biosynthesis protein PgsC
WP_015388236.1	WP_020451395.1	gene-ACSAL1_RS08285	4.313426083885517	gene-ACZ0AN_RS08985	3.0315102328406582	conserved_up		MotE family protein		MotE family protein
WP_209387661.1	WP_463315589.1	gene-ACSAL1_RS16860	5.0109203121106445	gene-ACZ0AN_RS19025	3.086041239424036	conserved_up		C40 family peptidase		NlpC/P60 family protein
WP_209387789.1	WP_023856807.1	gene-ACSAL1_RS19190	2.291104830670822	gene-ACZ0AN_RS21575	2.7096147702740923	conserved_up		YybS family protein		YybS family protein
WP_209387828.1	WP_025810652.1	gene-ACSAL1_RS01050	1.8673134983556103	gene-ACZ0AN_RS19410	-4.862125190830675	opposite		ABC transporter substrate-binding protein		iron-hydroxamate ABC transporter substrate-binding protein
WP_007408534.1	WP_020450606.1	gene-ACSAL1_RS04200	-1.4556562051907516	gene-ACZ0AN_RS04525	-2.519229252651413	conserved_down	catD	DoxX family oxidoreductase CatD		DoxX family protein
WP_015239502.1	WP_020450786.1	gene-ACSAL1_RS05085	-4.613400626729058	gene-ACZ0AN_RS05555	-1.5998343056513242	conserved_down		YhzD family protein		YhzD family protein
WP_209388011.1	WP_309539992.1	gene-ACSAL1_RS04110	-1.8031818045343413	gene-ACZ0AN_RS04375	1.5342963973693164	opposite		DNA-3-methyladenine glycosylase family protein		DNA-3-methyladenine glycosylase family protein
WP_209388096.1	WP_003180598.1	gene-ACSAL1_RS05760	-8.836432483973539	gene-ACZ0AN_RS06415	-2.988355215365623	conserved_down		peptide-binding protein		peptide-binding protein
WP_007409777.1	WP_020451389.1	gene-ACSAL1_RS08255	2.7675974423991145	gene-ACZ0AN_RS08955	4.422529013607652	conserved_up	fliE	flagellar hook-basal body complex protein FliE	fliE	flagellar hook-basal body complex protein FliE
WP_014419203.1	WP_025810596.1	gene-ACSAL1_RS18135	3.2894651689740755	gene-ACZ0AN_RS20175	-1.0587035131339115	opposite	glxA	glyoxalase GlxA		VOC family protein
WP_022553802.1	WP_020450024.1	gene-ACSAL1_RS15820	2.302102677869517	gene-ACZ0AN_RS01635	-3.8434368399104457	opposite		lantibiotic protection ABC transporter ATP-binding protein		lantibiotic protection ABC transporter ATP-binding protein
WP_029973678.1	WP_212110497.1	gene-ACSAL1_RS07205	2.3906716068661136	gene-ACZ0AN_RS07915	-4.085783881195495	opposite		WD40/YVTN/BNR-like repeat-containing protein		WD40/YVTN/BNR-like repeat-containing protein
WP_209387554.1	WP_020453235.1	gene-ACSAL1_RS14865	1.5416771575832595	gene-ACZ0AN_RS19395	-3.957512289066453	opposite		alpha/beta hydrolase		alpha/beta hydrolase
WP_209388252.1	WP_020450473.1	gene-ACSAL1_RS08690	1.3622236604329794	gene-ACZ0AN_RS03830	2.2924128567716235	conserved_up		hypothetical protein		hypothetical protein
WP_003156188.1	WP_006638778.1	gene-ACSAL1_RS02490	1.9893596640484152	gene-ACZ0AN_RS02820	1.5777885573158406	conserved_up	endB	type II toxin-antitoxin system antitoxin EndoAI		CopG family ribbon-helix-helix protein
WP_025649280.1	WP_079289258.1	gene-ACSAL1_RS15620	-4.379155678467193	gene-ACZ0AN_RS11285	-4.448011081301876	conserved_down		hypothetical protein		stress response protein YvgO
WP_038458013.1	WP_020451392.1	gene-ACSAL1_RS08270	3.5434053862178323	gene-ACZ0AN_RS08970	3.096073047684985	conserved_up	fliH	flagellar assembly protein FliH	fliH	flagellar assembly protein FliH
WP_209387545.1	WP_020452787.1	gene-ACSAL1_RS14690	2.3835243240054025	gene-ACZ0AN_RS16840	1.6137649185219811	conserved_up		Na+/H+ antiporter subunit E		Na+/H+ antiporter subunit E
WP_209387611.1	WP_095292166.1	gene-ACSAL1_RS16110	-4.436791661627002	gene-ACZ0AN_RS18265	-6.703226085229215	conserved_down		glycosyltransferase family 2 protein		glycosyltransferase family 2 protein
WP_209387646.1	WP_026580179.1	gene-ACSAL1_RS16710	2.9363138804074542	gene-ACZ0AN_RS18815	-1.4168591077994546	opposite	tuaG	teichuronic acid biosynthesis protein TuaG	tuaG	teichuronic acid biosynthesis protein TuaG
WP_209388183.1	WP_020451200.1	gene-ACSAL1_RS07190	1.414353186335384	gene-ACZ0AN_RS07900	1.0182030945837857	conserved_up	cbpB	cyclic-di-AMP-binding protein CbpB	cbpB	cyclic-di-AMP-binding protein CbpB
WP_003155289.1	WP_039072577.1	gene-ACSAL1_RS04990	-2.041175850189201	gene-ACZ0AN_RS05455	7.235454130353523	opposite		universal stress protein		universal stress protein
WP_014417440.1	WP_003180714.1	gene-ACSAL1_RS05995	-2.298778308602756	gene-ACZ0AN_RS06690	4.045016174893207	opposite		hypothetical protein		hypothetical protein
WP_209388037.1	WP_020450667.1	gene-ACSAL1_RS04615	2.944386651393398	gene-ACZ0AN_RS04970	2.721126319181297	conserved_up		hypothetical protein		hypothetical protein
WP_003153114.1	WP_020452155.1	gene-ACSAL1_RS11645	1.0102056445239047	gene-ACZ0AN_RS13185	1.1151835516604192	conserved_up		lipoate--protein ligase family protein		lipoate--protein ligase family protein
WP_003153118.1	WP_020452153.1	gene-ACSAL1_RS11635	3.617492440935315	gene-ACZ0AN_RS13175	5.094380867120173	conserved_up		patatin-like phospholipase family protein		patatin-like phospholipase family protein
WP_003153415.1	WP_023857465.1	gene-ACSAL1_RS10745	1.242076885019327	gene-ACZ0AN_RS12190	1.648876718615896	conserved_up	prsW	glutamic-type intramembrane protease PrsW	prsW	glutamic-type intramembrane protease PrsW
WP_007612940.1	WP_020452494.1	gene-ACSAL1_RS13030	1.7482222711787694	gene-ACZ0AN_RS15115	1.6140957334261157	conserved_up		YslB family protein		YslB family protein
WP_012117263.1	WP_003180528.1	gene-ACSAL1_RS05580	-2.372524328022084	gene-ACZ0AN_RS06245	1.3085160415468278	opposite		YajQ family cyclic di-GMP-binding protein		YajQ family cyclic di-GMP-binding protein
WP_014418528.1	WP_023855393.1	gene-ACSAL1_RS12630	1.2167007659470437	gene-ACZ0AN_RS14660	4.132030173461174	conserved_up		LapA family protein		LapA family protein
WP_022552673.1	WP_023855723.1	gene-ACSAL1_RS02920	-2.1759039314574493	gene-ACZ0AN_RS10850	1.2509135149737085	opposite	abc-f	ribosomal protection-like ABC-F family protein	abc-f	ribosomal protection-like ABC-F family protein
WP_209387433.1	WP_023857118.1	gene-ACSAL1_RS11755	1.42731643666065	gene-ACZ0AN_RS19315	8.085635229238775	conserved_up		hemolysin family protein		hemolysin family protein
WP_209388249.1	WP_095292687.1	gene-ACSAL1_RS08635	-1.3568860186456155	gene-ACZ0AN_RS00985	-3.158145350613784	conserved_down		serine hydrolase domain-containing protein		serine hydrolase domain-containing protein
WP_209388296.1	WP_044803292.1	gene-ACSAL1_RS09340	-3.931865011062726	gene-ACZ0AN_RS17980	-5.604333991616759	conserved_down	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC
WP_014418408.1	WP_020452248.1	gene-ACSAL1_RS12050	-1.129817142211832	gene-ACZ0AN_RS13720	-1.1485529290245378	conserved_down		hypothetical protein		hypothetical protein
WP_014418748.1	WP_023856137.1	gene-ACSAL1_RS14590	1.0768863178368075	gene-ACZ0AN_RS16730	1.431476000400966	conserved_up		DUF1871 family protein		DUF1871 family protein
WP_014418969.1	WP_463315607.1	gene-ACSAL1_RS16380	-1.3063270818016426	gene-ACZ0AN_RS01165	-3.550119058831153	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_095273206.1	WP_026580622.1	gene-ACSAL1_RS04315	-1.743540925436476	gene-ACZ0AN_RS04625	3.650424617253455	opposite		YfhJ family protein		YfhJ family protein
WP_106080393.1	WP_144497729.1	gene-ACSAL1_RS05000	-2.9951889826002223	gene-ACZ0AN_RS05465	-2.8769909479587565	conserved_down	bmrD	multidrug resistance ABC transporter ATP-binding protein/permease BmrD	bmrD	multidrug resistance ABC transporter ATP-binding protein/permease BmrD
WP_209387929.1	WP_396278994.1	gene-ACSAL1_RS02830	2.1582129126574885	gene-ACZ0AN_RS02710	1.4075276134146473	conserved_up		Na+/H+ antiporter NhaC family protein		Na+/H+ antiporter NhaC family protein
WP_209387935.1	WP_020449955.1	gene-ACSAL1_RS02955	1.802164700032009	gene-ACZ0AN_RS01280	1.1501266095174394	conserved_up		sulfite exporter TauE/SafE family protein		sulfite exporter TauE/SafE family protein
WP_209388151.1	WP_023856766.1	gene-ACSAL1_RS06625	-7.251040954502982	gene-ACZ0AN_RS07265	-1.4431052967788969	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein
WP_209388154.1	WP_458110479.1	gene-ACSAL1_RS06645	-4.4446955036845655	gene-ACZ0AN_RS07285	-2.3859624899557863	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_209388213.1	WP_023857236.1	gene-ACSAL1_RS07915	-3.994368827247178	gene-ACZ0AN_RS08620	1.455848320168253	opposite		dihydroorotate dehydrogenase electron transfer subunit		dihydroorotate dehydrogenase electron transfer subunit
WP_007407833.1	WP_023856874.1	gene-ACSAL1_RS18735	-3.003667405224812	gene-ACZ0AN_RS21050	-1.0760270025244625	conserved_down		sugar phosphate isomerase/epimerase family protein		sugar phosphate isomerase/epimerase family protein
WP_007408146.1	WP_035338217.1	gene-ACSAL1_RS12920	-2.773655229657829	gene-ACZ0AN_RS14990	1.9403434467068632	opposite	leuD	3-isopropylmalate dehydratase small subunit	leuD	3-isopropylmalate dehydratase small subunit
WP_007408166.1	WP_020452450.1	gene-ACSAL1_RS12800	-1.053106632422948	gene-ACZ0AN_RS14870	-1.6049072282549135	conserved_down	mreC	rod shape-determining protein MreC	mreC	rod shape-determining protein MreC
WP_007614078.1	WP_020453097.1	gene-ACSAL1_RS16575	-1.5745220130036943	gene-ACZ0AN_RS18665	-1.5099409821944676	conserved_down		YitT family protein		YitT family protein
WP_014721606.1	WP_023855407.1	gene-ACSAL1_RS12705	-1.3102430705573511	gene-ACZ0AN_RS14765	-1.4156539426299364	conserved_down		YhcN/YlaJ family sporulation lipoprotein		YhcN/YlaJ family sporulation lipoprotein
