ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class
WP_014416712.1	WP_229079034.1	gene-ACSAL1_RS00120	1.2172034992989538	gene-ACZ0AN_RS00135	5.2175676615197455	conserved_up
WP_014416732.1	WP_035337495.1	gene-ACSAL1_RS00405	1.4943052172992564	gene-ACZ0AN_RS00420	-1.699444508216135	opposite
WP_014419051.1	WP_212110215.1	gene-ACSAL1_RS16980	-1.108740975137642	gene-ACZ0AN_RS10015	1.3378976246494805	opposite
WP_032871696.1	WP_043054431.1	gene-ACSAL1_RS13565	1.0142526365747098	gene-ACZ0AN_RS15645	3.185809883603357	conserved_up
WP_032872770.1	WP_023855731.1	gene-ACSAL1_RS01615	2.854391752714983	gene-ACZ0AN_RS10810	1.1228098491428506	conserved_up
WP_065180448.1	WP_020450914.1	gene-ACSAL1_RS14925	-1.9419817747147752	gene-ACZ0AN_RS06280	1.2993709772841433	opposite
WP_087920760.1	WP_023857495.1	gene-ACSAL1_RS06330	-5.864729763497474	gene-ACZ0AN_RS12410	-2.03275570388518	conserved_down
WP_007408448.1	WP_463315651.1	gene-ACSAL1_RS04765	1.7268055668652609	gene-ACZ0AN_RS05135	2.352357415295325	conserved_up
WP_007610880.1	WP_262352115.1	gene-ACSAL1_RS06695	5.174352956865405	gene-ACZ0AN_RS07355	1.7804568924426	conserved_up
WP_007610941.1	WP_020451134.1	gene-ACSAL1_RS06880	-3.587327010368884	gene-ACZ0AN_RS07520	-1.0408795409147296	conserved_down
WP_014418069.1	WP_105980986.1	gene-ACSAL1_RS09475	-4.471973670319692	gene-ACZ0AN_RS10320	2.4994008690485368	opposite
WP_014418078.1	WP_026579843.1	gene-ACSAL1_RS09540	-7.517316532351051	gene-ACZ0AN_RS07115	3.213327105129636	opposite
WP_017417453.1	WP_080131317.1	gene-ACSAL1_RS05805	-4.680521267366401	gene-ACZ0AN_RS06465	-1.70289199449179	conserved_down
WP_017418839.1	WP_039073040.1	gene-ACSAL1_RS16400	1.9358389985465128	gene-ACZ0AN_RS18500	3.0201054490804755	conserved_up
WP_022552606.1	WP_463315629.1	gene-ACSAL1_RS02205	-2.163704397542098	gene-ACZ0AN_RS02675	-2.2856749883189225	conserved_down
WP_109567373.1	WP_020451965.1	gene-ACSAL1_RS10680	-1.9607682639023825	gene-ACZ0AN_RS12120	1.2269881345414242	opposite
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down
WP_209387665.1	WP_075212731.1	gene-ACSAL1_RS16990	-3.690252701672995	gene-ACZ0AN_RS19110	-1.0148104745358797	conserved_down
WP_209388014.1	WP_144497568.1	gene-ACSAL1_RS04155	-11.559233767667193	gene-ACZ0AN_RS04480	3.3755990124202504	opposite
WP_209388097.1	WP_020450931.1	gene-ACSAL1_RS05785	-4.369237861431171	gene-ACZ0AN_RS06445	-2.610654489631579	conserved_down
WP_003154064.1	WP_020451500.1	gene-ACSAL1_RS08825	-2.8167681017396933	gene-ACZ0AN_RS09570	-1.413477236468035	conserved_down
WP_007613450.1	WP_020452803.1	gene-ACSAL1_RS14780	-1.8518160257324656	gene-ACZ0AN_RS16940	3.537804541539622	opposite
WP_017419515.1	WP_033155020.1	gene-ACSAL1_RS14365	-2.2543819786072805	gene-ACZ0AN_RS16445	1.392523338543379	opposite
WP_209387623.1	WP_023856360.1	gene-ACSAL1_RS16410	2.7205759091802344	gene-ACZ0AN_RS18510	3.249324027327487	conserved_up
WP_209388040.1	WP_051303785.1	gene-ACSAL1_RS04685	1.0414677784500952	gene-ACZ0AN_RS05040	-1.0575515202674095	opposite
WP_209388089.1	WP_050820921.1	gene-ACSAL1_RS05670	-4.715303622546209	gene-ACZ0AN_RS06315	1.0881756127610345	opposite
WP_209388124.1	WP_003182594.1	gene-ACSAL1_RS06220	2.5594604962055274	gene-ACZ0AN_RS11030	-1.52780665734131	opposite
WP_209388340.1	WP_463315652.1	gene-ACSAL1_RS09565	-2.7945049267147444	gene-ACZ0AN_RS05175	1.1004179769627962	opposite
WP_003155540.1	WP_101561777.1	gene-ACSAL1_RS04140	-14.426380794359346	gene-ACZ0AN_RS04465	3.3268056927873104	opposite
WP_003156206.1	WP_023857876.1	gene-ACSAL1_RS02425	7.9326499189938176	gene-ACZ0AN_RS02760	-1.6792513251474843	opposite
WP_003156765.1	WP_023857683.1	gene-ACSAL1_RS01125	-1.7931319859896746	gene-ACZ0AN_RS01080	-1.9022331091137663	conserved_down
WP_007409608.1	WP_165583461.1	gene-ACSAL1_RS07130	1.8450025743937128	gene-ACZ0AN_RS07825	2.533535383968431	conserved_up
WP_007410318.1	WP_020451611.1	gene-ACSAL1_RS09210	-1.0729569290233014	gene-ACZ0AN_RS10170	3.0305621939608693	opposite
WP_014418163.1	WP_020451887.1	gene-ACSAL1_RS10195	-1.9451495875440592	gene-ACZ0AN_RS11645	-1.1626147456375169	conserved_down
WP_014418226.1	WP_020451906.1	gene-ACSAL1_RS10335	2.374750587949929	gene-ACZ0AN_RS11770	-1.960687448398598	opposite
WP_014418701.1	WP_020452681.1	gene-ACSAL1_RS14130	-3.951984887906128	gene-ACZ0AN_RS16155	-2.711653419295993	conserved_down
WP_014418721.1	WP_023856013.1	gene-ACSAL1_RS14385	3.268410763367283	gene-ACZ0AN_RS16465	-2.241624484169217	opposite
WP_209387807.1	WP_026579010.1	gene-ACSAL1_RS00095	-2.016292304833926	gene-ACZ0AN_RS00095	2.2050165501959564	opposite
WP_209387815.1	WP_095293084.1	gene-ACSAL1_RS00350	2.688175189689999	gene-ACZ0AN_RS00365	-1.0842081557662198	opposite
WP_209387847.1	WP_216919657.1	gene-ACSAL1_RS01435	-3.23001386047492	gene-ACZ0AN_RS16425	1.108794667870473	opposite
WP_209387851.1	WP_463315617.1	gene-ACSAL1_RS01475	1.6324063816200225	gene-ACZ0AN_RS01680	-2.381338331948041	opposite
WP_209388020.1	WP_463315646.1	gene-ACSAL1_RS04240	-2.1662685257865744	gene-ACZ0AN_RS04565	-1.1357289425919133	conserved_down
WP_209388025.1	WP_023855996.1	gene-ACSAL1_RS04345	1.5938601705731903	gene-ACZ0AN_RS04645	3.39372446317414	conserved_up
WP_209388066.1	WP_023856564.1	gene-ACSAL1_RS05215	-1.182433288881998	gene-ACZ0AN_RS05685	-1.2122364320173835	conserved_down
WP_209388068.1	WP_003180341.1	gene-ACSAL1_RS05300	-1.1396719652030278	gene-ACZ0AN_RS05785	-3.547532508357943	conserved_down
WP_003152359.1	WP_023855521.1	gene-ACSAL1_RS13815	2.210453037090703	gene-ACZ0AN_RS15805	2.591072122297144	conserved_up
WP_003153229.1	WP_463315567.1	gene-ACSAL1_RS11345	-1.6740983551861546	gene-ACZ0AN_RS12935	-4.8994849241551215	conserved_down
WP_003153246.1	WP_003183271.1	gene-ACSAL1_RS11280	-2.024361599075449	gene-ACZ0AN_RS12830	1.683032903131903	opposite
WP_003153348.1	WP_020452031.1	gene-ACSAL1_RS10980	-5.321007350179249	gene-ACZ0AN_RS12475	-2.230434213485784	conserved_down
WP_014418573.1	WP_023855442.1	gene-ACSAL1_RS12990	1.752706220236102	gene-ACZ0AN_RS15070	-1.57885749075382	opposite
WP_021493826.1	WP_103749038.1	gene-ACSAL1_RS06495	2.7745743682146844	gene-ACZ0AN_RS07020	1.141918603552586	conserved_up
WP_021494369.1	WP_025811067.1	gene-ACSAL1_RS12425	4.16036785591864	gene-ACZ0AN_RS14475	-2.669849375920057	opposite
WP_021494398.1	WP_023855436.1	gene-ACSAL1_RS12935	-2.5752707188524626	gene-ACZ0AN_RS15005	1.6835178236565316	opposite
WP_021494838.1	WP_023857146.1	gene-ACSAL1_RS17000	-1.9059004191608315	gene-ACZ0AN_RS19120	1.6134055385530237	opposite
WP_063636991.1	WP_025810135.1	gene-ACSAL1_RS01975	3.14283442820121	gene-ACZ0AN_RS02380	-2.9054420844214093	opposite
WP_065180546.1	WP_020451905.1	gene-ACSAL1_RS10330	1.2718280674797813	gene-ACZ0AN_RS11765	1.3911819646099344	conserved_up
WP_209387856.1	WP_065644601.1	gene-ACSAL1_RS01565	-4.883845397278584	gene-ACZ0AN_RS04420	-1.5259832038594563	conserved_down
WP_209387897.1	WP_020451129.1	gene-ACSAL1_RS02175	-1.9096990013062256	gene-ACZ0AN_RS07495	-2.034741719174001	conserved_down
WP_209387942.1	WP_212930469.1	gene-ACSAL1_RS03010	-5.319763060058924	gene-ACZ0AN_RS06770	-1.652784228966899	conserved_down
WP_007407725.1	WP_020453376.1	gene-ACSAL1_RS18105	1.055493459706895	gene-ACZ0AN_RS20155	2.047636993162536	conserved_up
WP_007408461.1	WP_020451149.1	gene-ACSAL1_RS06945	4.554990244619121	gene-ACZ0AN_RS07600	1.2757454494222562	conserved_up
WP_007408540.1	WP_026580626.1	gene-ACSAL1_RS04220	-2.407736345212819	gene-ACZ0AN_RS04555	-1.2387489045274809	conserved_down
WP_007408834.1	WP_020452679.1	gene-ACSAL1_RS14115	1.1379603923857866	gene-ACZ0AN_RS16140	1.5694256768369166	conserved_up
WP_007408838.1	WP_020452683.1	gene-ACSAL1_RS14140	1.5588046817683694	gene-ACZ0AN_RS16165	1.7022208971195518	conserved_up
WP_007409202.1	WP_039072636.1	gene-ACSAL1_RS05280	-7.186396071002923	gene-ACZ0AN_RS05745	1.5113821695313574	opposite
WP_007409232.1	WP_020450783.1	gene-ACSAL1_RS05080	-4.432094049797036	gene-ACZ0AN_RS05535	-1.7395135731914453	conserved_down
WP_007409265.1	WP_020450740.1	gene-ACSAL1_RS04910	1.0249219112974963	gene-ACZ0AN_RS05330	-1.5719943229369508	opposite
WP_014416856.1	WP_079289465.1	gene-ACSAL1_RS01640	-1.6857081681624009	gene-ACZ0AN_RS01920	2.0336343684461164	opposite
WP_014416875.1	WP_003183787.1	gene-ACSAL1_RS01775	4.896699567113498	gene-ACZ0AN_RS14190	1.2595998092658656	conserved_up
WP_014417303.1	WP_023856526.1	gene-ACSAL1_RS04945	1.1163275496409255	gene-ACZ0AN_RS05385	1.3020837681910555	conserved_up
WP_014417624.1	WP_020451220.1	gene-ACSAL1_RS07280	-2.992597824096704	gene-ACZ0AN_RS08005	-1.8572633755859416	conserved_down
WP_014419084.1	WP_020453225.1	gene-ACSAL1_RS17200	-2.552460447470357	gene-ACZ0AN_RS19340	-1.0552941587939886	conserved_down
WP_014419100.1	WP_020453263.1	gene-ACSAL1_RS17365	-1.354006829706629	gene-ACZ0AN_RS19550	-1.7907575845297306	conserved_down
WP_015239079.1	WP_080131481.1	gene-ACSAL1_RS01345	1.449471144073017	gene-ACZ0AN_RS16805	-1.1845924896227915	opposite
WP_015239834.1	WP_080131361.1	gene-ACSAL1_RS07965	1.070173059097868	gene-ACZ0AN_RS08675	-2.783154204561614	opposite
WP_029973465.1	WP_035338769.1	gene-ACSAL1_RS08295	4.211365065011884	gene-ACZ0AN_RS08995	3.1360969960722347	conserved_up
WP_032873891.1	WP_079289159.1	gene-ACSAL1_RS12430	3.715114580233618	gene-ACZ0AN_RS14480	-1.5830758633695157	opposite
WP_209387531.1	WP_020452705.1	gene-ACSAL1_RS14350	1.9396924738412624	gene-ACZ0AN_RS16395	-1.599948335239788	opposite
WP_209387584.1	WP_020452969.1	gene-ACSAL1_RS15685	-3.073315664568395	gene-ACZ0AN_RS17930	1.1343017837849023	opposite
WP_209387590.1	WP_020450026.1	gene-ACSAL1_RS15810	4.075270744142511	gene-ACZ0AN_RS01645	-2.679636350223789	opposite
WP_209387869.1	WP_463315619.1	gene-ACSAL1_RS01790	-1.3874090105756127	gene-ACZ0AN_RS02070	-1.7290186017611453	conserved_down
WP_003153380.1	WP_023857487.1	gene-ACSAL1_RS10865	2.4029082997714557	gene-ACZ0AN_RS12345	1.2553401257702768	conserved_up
WP_003153791.1	WP_025811299.1	gene-ACSAL1_RS09740	2.4027548600786863	gene-ACZ0AN_RS11220	-2.996669150830744	opposite
WP_003153848.1	WP_023857512.1	gene-ACSAL1_RS09535	-1.6012744725846353	gene-ACZ0AN_RS10590	2.056815292975994	opposite
WP_007408704.1	WP_197407115.1	gene-ACSAL1_RS14885	-1.9611705880142165	gene-ACZ0AN_RS17020	-1.448942886856874	conserved_down
WP_012117522.1	WP_020451335.1	gene-ACSAL1_RS07940	1.46329600320265	gene-ACZ0AN_RS08650	-5.1459412443498325	opposite
WP_014305189.1	WP_059230589.1	gene-ACSAL1_RS09710	6.246388519655356	gene-ACZ0AN_RS10995	3.5988982712916973	conserved_up
WP_209387760.1	WP_023856876.1	gene-ACSAL1_RS18725	-3.227630184226192	gene-ACZ0AN_RS21040	-1.037364928130837	conserved_down
WP_209388293.1	WP_095292208.1	gene-ACSAL1_RS09315	-1.26776836309052	gene-ACZ0AN_RS17975	-3.3996738742288177	conserved_down
WP_003156263.1	WP_043926750.1	gene-ACSAL1_RS02225	-1.3687242802288264	gene-ACZ0AN_RS02635	-1.0122595676090618	conserved_down
WP_003156508.1	WP_003178377.1	gene-ACSAL1_RS00850	3.2420921622102323	gene-ACZ0AN_RS00860	-1.4792014068465975	opposite
WP_003218330.1	WP_003178187.1	gene-ACSAL1_RS00285	1.6097278060988185	gene-ACZ0AN_RS00300	1.1837617911546012	conserved_up
WP_004393130.1	WP_463315621.1	gene-ACSAL1_RS19005	-2.044025085325879	gene-ACZ0AN_RS02155	-1.278056620589572	conserved_down
WP_007613932.1	WP_025810730.1	gene-ACSAL1_RS16145	-3.1654835611560204	gene-ACZ0AN_RS18300	-6.504156675798009	conserved_down
WP_007614174.1	WP_023857158.1	gene-ACSAL1_RS16870	3.820635373010996	gene-ACZ0AN_RS19035	2.615495576218596	conserved_up
WP_011996172.1	WP_003178189.1	gene-ACSAL1_RS00290	-1.093957039424568	gene-ACZ0AN_RS00305	2.127714824064673	opposite
WP_017419100.1	WP_197407056.1	gene-ACSAL1_RS03920	-2.443915917986018	gene-ACZ0AN_RS21560	-1.3122160456460548	conserved_down
WP_095060687.1	WP_463315716.1	gene-ACSAL1_RS09840	-2.098432220825613	gene-ACZ0AN_RS11320	2.124236480134237	opposite
WP_101287828.1	WP_025811224.1	gene-ACSAL1_RS10600	-1.832417523791708	gene-ACZ0AN_RS12040	1.234408777290284	opposite
WP_209387766.1	WP_079289246.1	gene-ACSAL1_RS18790	-3.256030382478224	gene-ACZ0AN_RS21110	-1.4209804359467644	conserved_down
WP_209388323.1	WP_023856293.1	gene-ACSAL1_RS04295	1.4951395833675063	gene-ACZ0AN_RS17895	4.944402784968511	conserved_up
WP_003150818.1	WP_020453462.1	gene-ACSAL1_RS18360	-1.899980466724842	gene-ACZ0AN_RS20610	3.092006824696252	opposite
WP_007612347.1	WP_023855928.1	gene-ACSAL1_RS11010	1.1436001097257371	gene-ACZ0AN_RS12505	2.3989979848059573	conserved_up
WP_012117061.1	WP_023856657.1	gene-ACSAL1_RS03870	-1.4975874896517312	gene-ACZ0AN_RS06500	1.751423180960942	opposite
WP_014417719.1	WP_145685923.1	gene-ACSAL1_RS07775	1.0100593211871682	gene-ACZ0AN_RS08460	-1.7440772675643292	opposite
WP_014417735.1	WP_154059137.1	gene-ACSAL1_RS07960	1.0682982596174395	gene-ACZ0AN_RS08670	-2.554782534531133	opposite
WP_094296495.1	WP_035337765.1	gene-ACSAL1_RS04245	-1.96119704155616	gene-ACZ0AN_RS18565	-2.110650665514868	conserved_down
WP_160183220.1	WP_023857026.1	gene-ACSAL1_RS17925	2.8839565205323328	gene-ACZ0AN_RS19925	-1.7715700718954217	opposite
WP_209387827.1	WP_020450112.1	gene-ACSAL1_RS01035	1.839758709499272	gene-ACZ0AN_RS02100	-3.146216833642523	opposite
WP_209387938.1	WP_249726772.1	gene-ACSAL1_RS02980	-3.882128307582627	gene-ACZ0AN_RS19085	1.2669642413455129	opposite
WP_003153733.1	WP_103749529.1	gene-ACSAL1_RS09900	3.0734462598200563	gene-ACZ0AN_RS14180	2.4121072601339217	conserved_up
WP_003156467.1	WP_020449860.1	gene-ACSAL1_RS00740	-1.0067355596969187	gene-ACZ0AN_RS00750	-1.2166084671752428	conserved_down
WP_004264691.1	WP_023855980.1	gene-ACSAL1_RS00280	3.630879790644214	gene-ACZ0AN_RS00295	2.1295973646964907	conserved_up
WP_007613018.1	WP_145645883.1	gene-ACSAL1_RS13215	1.95752203293045	gene-ACZ0AN_RS15300	2.429749322137207	conserved_up
WP_094031586.1	WP_020450573.1	gene-ACSAL1_RS04045	2.11865860217245	gene-ACZ0AN_RS04340	3.79963517696676	conserved_up
WP_209387319.1	WP_463315702.1	gene-ACSAL1_RS09495	-6.796985221757411	gene-ACZ0AN_RS10645	-7.180965380102754	conserved_down
WP_209388013.1	WP_023855891.1	gene-ACSAL1_RS04145	-13.324400098800346	gene-ACZ0AN_RS04470	3.461212273905089	opposite
WP_209388057.1	WP_463315656.1	gene-ACSAL1_RS04995	-1.5539544197770336	gene-ACZ0AN_RS05460	-2.870280723913922	conserved_down
WP_003155070.1	WP_003180573.1	gene-ACSAL1_RS05700	-2.72449463230394	gene-ACZ0AN_RS06350	1.6545442789480669	opposite
WP_007613029.1	WP_020452538.1	gene-ACSAL1_RS13260	-1.9249125469361088	gene-ACZ0AN_RS15355	-1.497168154273244	conserved_down
WP_012117426.1	WP_003181243.1	gene-ACSAL1_RS07055	-2.14063676657998	gene-ACZ0AN_RS07750	1.509253740262695	opposite
WP_012117512.1	WP_048350284.1	gene-ACSAL1_RS07865	-1.4932065641458314	gene-ACZ0AN_RS08570	-2.1280857385868144	conserved_down
WP_015418422.1	WP_103749414.1	gene-ACSAL1_RS17435	-5.004627658044479	gene-ACZ0AN_RS19640	-2.127138649156496	conserved_down
WP_017417889.1	WP_026579579.1	gene-ACSAL1_RS09290	-1.6808120499434709	gene-ACZ0AN_RS10900	1.6449506815226274	opposite
WP_029973761.1	WP_039073309.1	gene-ACSAL1_RS03235	-1.0072021226718155	gene-ACZ0AN_RS03365	-3.1114435340054176	conserved_down
WP_044802245.1	WP_039072769.1	gene-ACSAL1_RS09570	-2.128552910239919	gene-ACZ0AN_RS10740	1.3638597986156256	opposite
WP_003156488.1	WP_003178353.1	gene-ACSAL1_RS00795	-1.1374279288119666	gene-ACZ0AN_RS00805	-1.2935160136862636	conserved_down
WP_007407552.1	WP_095291488.1	gene-ACSAL1_RS17070	-1.8588800849433795	gene-ACZ0AN_RS19135	-2.8540330460219736	conserved_down
WP_007408154.1	WP_020452464.1	gene-ACSAL1_RS12875	1.0920183915140562	gene-ACZ0AN_RS14945	1.1520684186899444	conserved_up
WP_007611962.1	WP_224067368.1	gene-ACSAL1_RS09800	-3.2554576290207105	gene-ACZ0AN_RS11280	-1.8771217070356776	conserved_down
WP_014416787.1	WP_020452586.1	gene-ACSAL1_RS01185	3.00931132988949	gene-ACZ0AN_RS15610	-1.3555069013213925	opposite
WP_014417058.1	WP_105981098.1	gene-ACSAL1_RS03035	3.1207073615374443	gene-ACZ0AN_RS14035	1.3332180577009678	conserved_up
WP_017417653.1	WP_146873438.1	gene-ACSAL1_RS06950	-1.4277974193696534	gene-ACZ0AN_RS07605	-2.178227870588532	conserved_down
WP_017418319.1	WP_105980089.1	gene-ACSAL1_RS13155	-2.0459954312212147	gene-ACZ0AN_RS15245	-2.10050694959517	conserved_down
WP_017419163.1	WP_075213253.1	gene-ACSAL1_RS03060	1.0188873581035778	gene-ACZ0AN_RS09500	1.902885976330414	conserved_up
WP_020955795.1	WP_145645558.1	gene-ACSAL1_RS07910	-4.620415470760799	gene-ACZ0AN_RS08615	1.5941446832674218	opposite
WP_021493417.1	WP_020451596.1	gene-ACSAL1_RS09125	1.833529614785592	gene-ACZ0AN_RS10075	-1.405945687121161	opposite
WP_022552891.1	WP_020452405.1	gene-ACSAL1_RS12580	-1.2759140680311605	gene-ACZ0AN_RS14610	1.287618134624874	opposite
WP_022553314.1	WP_023855720.1	gene-ACSAL1_RS08780	-1.4905969501394731	gene-ACZ0AN_RS10865	-1.0408375927806186	conserved_down
WP_025649327.1	WP_020453049.1	gene-ACSAL1_RS16305	-3.0163865821744773	gene-ACZ0AN_RS18405	1.074716264125129	opposite
WP_025649477.1	WP_035338811.1	gene-ACSAL1_RS07890	-1.7906085037229265	gene-ACZ0AN_RS08595	2.5563710273285105	opposite
WP_209387334.1	WP_023855721.1	gene-ACSAL1_RS09665	-1.625821319038704	gene-ACZ0AN_RS10860	2.046212711220096	opposite
WP_209387365.1	WP_020452730.1	gene-ACSAL1_RS19490	-4.956804417139788	gene-ACZ0AN_RS16510	1.3086611866477478	opposite
WP_209387446.1	WP_145645246.1	gene-ACSAL1_RS12160	2.890957105996548	gene-ACZ0AN_RS13845	1.1609876763693523	conserved_up
WP_209387986.1	WP_095292924.1	gene-ACSAL1_RS03745	4.098116878297063	gene-ACZ0AN_RS03970	-3.5873833151550363	opposite
WP_209388060.1	WP_020450901.1	gene-ACSAL1_RS05060	1.8690377668563247	gene-ACZ0AN_RS06210	-5.611823325934181	opposite
WP_003151223.1	WP_023857117.1	gene-ACSAL1_RS17175	-1.7176819120232634	gene-ACZ0AN_RS19320	6.5591302305110375	opposite
WP_003151340.1	WP_003185831.1	gene-ACSAL1_RS16875	4.035579409374109	gene-ACZ0AN_RS19040	2.6565147089535497	conserved_up
WP_003151456.1	WP_249726789.1	gene-ACSAL1_RS16445	1.0939883486448103	gene-ACZ0AN_RS18555	-1.348302108016593	opposite
WP_003151607.1	WP_020453006.1	gene-ACSAL1_RS15955	2.6781740488127013	gene-ACZ0AN_RS18160	1.7078587155075085	conserved_up
WP_007408966.1	WP_020450525.1	gene-ACSAL1_RS03815	3.199668833549508	gene-ACZ0AN_RS04095	7.526635975934568	conserved_up
WP_007410408.1	WP_023855909.1	gene-ACSAL1_RS00840	2.8964756770013387	gene-ACZ0AN_RS00850	-1.0828272311109175	opposite
WP_014417276.1	WP_020450687.1	gene-ACSAL1_RS04725	5.305157079100318	gene-ACZ0AN_RS05085	-2.761024197688778	opposite
WP_015388236.1	WP_020451395.1	gene-ACSAL1_RS08285	4.313426083885517	gene-ACZ0AN_RS08985	3.0315102328406582	conserved_up
WP_021493878.1	WP_103750387.1	gene-ACSAL1_RS03955	2.02942522569696	gene-ACZ0AN_RS04195	1.6409532471633237	conserved_up
WP_209387661.1	WP_463315589.1	gene-ACSAL1_RS16860	5.0109203121106445	gene-ACZ0AN_RS19025	3.086041239424036	conserved_up
WP_209387727.1	WP_023855146.1	gene-ACSAL1_RS18270	3.811578484962616	gene-ACZ0AN_RS12875	1.818178091388596	conserved_up
WP_209387789.1	WP_023856807.1	gene-ACSAL1_RS19190	2.291104830670822	gene-ACZ0AN_RS21575	2.7096147702740923	conserved_up
WP_209387828.1	WP_025810652.1	gene-ACSAL1_RS01050	1.8673134983556103	gene-ACZ0AN_RS19410	-4.862125190830675	opposite
WP_209388077.1	WP_003180431.1	gene-ACSAL1_RS05455	-1.033576012205452	gene-ACZ0AN_RS06030	-1.195111119164801	conserved_down
WP_209388167.1	WP_154059133.1	gene-ACSAL1_RS06875	-3.998232689390282	gene-ACZ0AN_RS07515	-1.323020547831464	conserved_down
WP_003153729.1	WP_023857369.1	gene-ACSAL1_RS09910	1.2584556852155495	gene-ACZ0AN_RS11375	2.205645286779224	conserved_up
WP_007408534.1	WP_020450606.1	gene-ACSAL1_RS04200	-1.4556562051907516	gene-ACZ0AN_RS04525	-2.519229252651413	conserved_down
WP_015239502.1	WP_020450786.1	gene-ACSAL1_RS05085	-4.613400626729058	gene-ACZ0AN_RS05555	-1.5998343056513242	conserved_down
WP_017418742.1	WP_103749408.1	gene-ACSAL1_RS17275	1.614248855014084	gene-ACZ0AN_RS19460	1.2083854037340924	conserved_up
WP_209388011.1	WP_309539992.1	gene-ACSAL1_RS04110	-1.8031818045343413	gene-ACZ0AN_RS04375	1.5342963973693164	opposite
WP_209388096.1	WP_003180598.1	gene-ACSAL1_RS05760	-8.836432483973539	gene-ACZ0AN_RS06415	-2.988355215365623	conserved_down
WP_007409777.1	WP_020451389.1	gene-ACSAL1_RS08255	2.7675974423991145	gene-ACZ0AN_RS08955	4.422529013607652	conserved_up
WP_014419203.1	WP_025810596.1	gene-ACSAL1_RS18135	3.2894651689740755	gene-ACZ0AN_RS20175	-1.0587035131339115	opposite
WP_014419216.1	WP_463315594.1	gene-ACSAL1_RS18235	2.385908071480302	gene-ACZ0AN_RS20335	1.4164846264262734	conserved_up
WP_014720932.1	WP_020452853.1	gene-ACSAL1_RS04980	1.1085797791705978	gene-ACZ0AN_RS17240	2.866732120959902	conserved_up
WP_022553802.1	WP_020450024.1	gene-ACSAL1_RS15820	2.302102677869517	gene-ACZ0AN_RS01635	-3.8434368399104457	opposite
WP_029973678.1	WP_212110497.1	gene-ACSAL1_RS07205	2.3906716068661136	gene-ACZ0AN_RS07915	-4.085783881195495	opposite
WP_209387554.1	WP_020453235.1	gene-ACSAL1_RS14865	1.5416771575832595	gene-ACZ0AN_RS19395	-3.957512289066453	opposite
