ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	KO	KO_definition	functional_category	combined_abs_log2FC	raw_label	label
WP_209387606.1	WP_035337735.1	gene-ACSAL1_RS16075	-5.304053247834244	gene-ACZ0AN_RS18230	-7.372771665535743	conserved_down	NA	polysaccharide pyruvyl transferase family protein	NA	polysaccharide pyruvyl transferase family protein	K19431	pyruvyl transferase EpsO [EC:2.-.-.-]	biofilm_cell_envelope	12.676824913369988	gene-ACSAL1_RS16075	gene-ACSAL1 RS16075
WP_209387320.1	WP_463315703.1	gene-ACSAL1_RS09500	-6.1892231401134286	gene-ACZ0AN_RS10650	-6.349762743757935	conserved_down	NA	non-ribosomal peptide synthetase	NA	amino acid adenylation domain-containing protein	K15664	plipastatin/fengycin lipopeptide synthetase A	unclassified	12.538985883871364	gene-ACSAL1_RS09500	gene-ACSAL1 RS09500
WP_209387609.1	WP_095292169.1	gene-ACSAL1_RS16100	-5.599860927765386	gene-ACZ0AN_RS18255	-6.897300896724677	conserved_down	NA	glycosyltransferase	NA	glycosyltransferase	K19427	glycosyltransferase EpsJ [EC:2.4.-.-]	biofilm_cell_envelope	12.497161824490064	gene-ACSAL1_RS16100	gene-ACSAL1 RS16100
WP_209388310.1	WP_463315701.1	gene-ACSAL1_RS09490	-6.482509195309159	gene-ACZ0AN_RS10640	-5.94605678116537	conserved_down	NA	non-ribosomal peptide synthetase	NA	amino acid adenylation domain-containing protein	K15666	plipastatin/fengycin lipopeptide synthetase C	unclassified	12.42856597647453	gene-ACSAL1_RS09490	gene-ACSAL1 RS09490
WP_209387608.1	WP_231005573.1	gene-ACSAL1_RS16095	-4.579344827486073	gene-ACZ0AN_RS18250	-7.399652832451961	conserved_down	NA	MATE family efflux transporter	NA	MATE family efflux transporter	K19418	membrane protein EpsK	transport	11.978997659938035	gene-ACSAL1_RS16095	gene-ACSAL1 RS16095
WP_209387607.1	WP_095292172.1	gene-ACSAL1_RS16085	-5.697798056811681	gene-ACZ0AN_RS18240	-6.213331683021752	conserved_down	NA	acetyltransferase	NA	acetyltransferase	K19429	acetyltransferase EpsM [EC:2.3.1.-]	unclassified	11.911129739833434	gene-ACSAL1_RS16085	gene-ACSAL1 RS16085
WP_209387610.1	WP_020453024.1	gene-ACSAL1_RS16105	-4.627131284848838	gene-ACZ0AN_RS18260	-7.2261011820334815	conserved_down	NA	polysaccharide pyruvyl transferase family protein	NA	polysaccharide pyruvyl transferase family protein	K19426	pyruvyl transferase EpsI [EC:2.-.-.-]	biofilm_cell_envelope	11.85323246688232	gene-ACSAL1_RS16105	gene-ACSAL1 RS16105
WP_209388096.1	WP_003180598.1	gene-ACSAL1_RS05760	-8.836432483973539	gene-ACZ0AN_RS06415	-2.988355215365623	conserved_down	NA	peptide-binding protein	NA	peptide-binding protein	K02035	peptide/nickel transport system substrate-binding protein	unclassified	11.824787699339161	gene-ACSAL1_RS05760	gene-ACSAL1 RS05760
WP_025650408.1	WP_023857033.1	gene-ACSAL1_RS14390	-5.780876519510483	gene-ACZ0AN_RS19875	-6.003002254306837	conserved_down	bslA	biofilm surface layer hydrophobin BslA	bslA	biofilm surface layer hydrophobin BslA	NA	NA	biofilm_cell_envelope	11.783878773817321	bslA	bslA
WP_209387612.1	WP_249726811.1	gene-ACSAL1_RS16120	-5.247347115945321	gene-ACZ0AN_RS18275	-6.471095816487367	conserved_down	NA	glycosyltransferase family 1 protein	NA	glycosyltransferase family 1 protein	K19424	glycosyltransferase EpsF [EC:2.4.-.-]	biofilm_cell_envelope	11.718442932432687	gene-ACSAL1_RS16120	gene-ACSAL1 RS16120
WP_209387434.1	WP_035338373.1	gene-ACSAL1_RS11760	3.463128435122114	gene-ACZ0AN_RS13305	8.246250521331486	conserved_up	NA	STAS domain-containing protein	NA	STAS domain-containing protein	K17763	rsbT co-antagonist protein RsbR	unclassified	11.7093789564536	gene-ACSAL1_RS11760	gene-ACSAL1 RS11760
WP_209388092.1	WP_020450924.1	gene-ACSAL1_RS05695	-10.07162757888156	gene-ACZ0AN_RS06340	-1.5796372349978192	conserved_down	argF	ornithine carbamoyltransferase	argF	ornithine carbamoyltransferase	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	unclassified	11.65126481387938	argF	argF
WP_209387613.1	WP_020453028.1	gene-ACSAL1_RS16125	-5.160458131216826	gene-ACZ0AN_RS18280	-6.420474377033791	conserved_down	epsE	glycosyltransferase EpsE	NA	glycosyltransferase family 2 protein	K19423	glycosyltransferase EpsE [EC:2.4.-.-]	biofilm_cell_envelope	11.580932508250617	epsE	epsE
WP_209387614.1	WP_249726809.1	gene-ACSAL1_RS16130	-5.042826531323989	gene-ACZ0AN_RS18285	-6.47835672015482	conserved_down	NA	glycosyltransferase family 4 protein	NA	glycosyltransferase family 4 protein	K19422	glycosyltransferase EpsD [EC:2.4.-.-]	biofilm_cell_envelope	11.52118325147881	gene-ACSAL1_RS16130	gene-ACSAL1 RS16130
WP_115941165.1	WP_023857018.1	gene-ACSAL1_RS17985	-6.931690911383481	gene-ACZ0AN_RS19975	-4.547894564310743	conserved_down	NA	S8 family peptidase	NA	S8 family peptidase	K14647	minor extracellular serine protease Vpr [EC:3.4.21.-]	unclassified	11.479585475694225	gene-ACSAL1_RS17985	gene-ACSAL1 RS17985
WP_021495233.1	WP_025810731.1	gene-ACSAL1_RS16135	-4.530910339759023	gene-ACZ0AN_RS18290	-6.877538643895273	conserved_down	NA	polysaccharide biosynthesis protein	NA	polysaccharide biosynthesis protein	K19421	polysaccharide biosynthesis protein EpsC	biofilm_cell_envelope	11.408448983654296	gene-ACSAL1_RS16135	gene-ACSAL1 RS16135
WP_014417349.1	WP_023856571.1	gene-ACSAL1_RS05295	-9.320798621267242	gene-ACZ0AN_RS05775	-2.04276053453538	conserved_down	NA	S8 family peptidase	NA	S8 family peptidase	K01342	subtilisin [EC:3.4.21.62]	unclassified	11.363559155802623	gene-ACSAL1_RS05295	gene-ACSAL1 RS05295
WP_209387611.1	WP_095292166.1	gene-ACSAL1_RS16110	-4.436791661627002	gene-ACZ0AN_RS18265	-6.703226085229215	conserved_down	NA	glycosyltransferase family 2 protein	NA	glycosyltransferase family 2 protein	K19425	glycosyltransferase EpsH [EC:2.4.-.-]	biofilm_cell_envelope	11.140017746856216	gene-ACSAL1_RS16110	gene-ACSAL1 RS16110
WP_007408966.1	WP_020450525.1	gene-ACSAL1_RS03815	3.199668833549508	gene-ACZ0AN_RS04095	7.526635975934568	conserved_up	NA	anion permease	NA	anion permease	K03319	divalent anion:Na+ symporter, DASS family	sodium_homeostasis;transport	10.726304809484075	gene-ACSAL1_RS03815	gene-ACSAL1 RS03815
WP_209387533.1	WP_245117755.1	gene-ACSAL1_RS14380	9.031164912910793	gene-ACZ0AN_RS16460	1.6817709586311131	conserved_up	betB	betaine-aldehyde dehydrogenase	betB	betaine-aldehyde dehydrogenase	K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	glycine_betaine_choline	10.712935871541905	betB	betB
WP_209387430.1	WP_145645271.1	gene-ACSAL1_RS11700	-5.414827015524714	gene-ACZ0AN_RS13255	-5.237453988355179	conserved_down	tapA	amyloid fiber anchoring/assembly protein TapA	tapA	amyloid fiber anchoring/assembly protein TapA	K19433	TasA anchoring/assembly protein	biofilm_cell_envelope	10.652281003879892	tapA	tapA
WP_021494173.1	WP_075213795.1	gene-ACSAL1_RS09590	6.6109245653865	gene-ACZ0AN_RS10685	4.030802150286297	conserved_up	proC	pyrroline-5-carboxylate reductase	proC	pyrroline-5-carboxylate reductase	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proline	10.641726715672796	proC	proC
WP_017419351.1	WP_039073164.1	gene-ACSAL1_RS01500	1.8156798797031728	gene-ACZ0AN_RS01780	8.815510035328394	conserved_up	NA	glucose 1-dehydrogenase	NA	glucose 1-dehydrogenase	K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	unclassified	10.631189915031566	gene-ACSAL1_RS01500	gene-ACSAL1 RS01500
WP_209387470.1	WP_059231350.1	gene-ACSAL1_RS12715	-9.210568388454638	gene-ACZ0AN_RS14775	-1.4126064098139175	conserved_down	nadA	quinolinate synthase NadA	nadA	quinolinate synthase NadA	K03517	quinolinate synthase [EC:2.5.1.72]	unclassified	10.623174798268556	nadA	nadA
WP_209387469.1	WP_026579141.1	gene-ACSAL1_RS12710	-8.993120230055487	gene-ACZ0AN_RS14770	-1.5809922094879618	conserved_down	safA	SafA/ExsA family spore coat assembly protein	safA	SafA/ExsA family spore coat assembly protein	K06370	morphogenetic protein associated with SpoVID	unclassified	10.574112439543448	safA	safA
WP_017417943.1	WP_149169593.1	gene-ACSAL1_RS09585	5.651574961305816	gene-ACZ0AN_RS10680	4.669124185727576	conserved_up	proB	glutamate 5-kinase	proB	glutamate 5-kinase	K00931	glutamate 5-kinase [EC:2.7.2.11]	proline;transport	10.320699147033391	proB	proB
WP_003155609.1	WP_003179731.1	gene-ACSAL1_RS03900	4.082429677204219	gene-ACZ0AN_RS04165	6.181953440595755	conserved_up	NA	YflJ family protein	NA	DUF2639 domain-containing protein	NA	NA	unclassified	10.264383117799973	gene-ACSAL1_RS03900	gene-ACSAL1 RS03900
WP_017419343.1	WP_145645580.1	gene-ACSAL1_RS01460	-7.353782609972714	gene-ACZ0AN_RS12620	-2.780709877820229	conserved_down	estA	lipase EstA	NA	esterase/lipase family protein	K01046	triacylglycerol lipase [EC:3.1.1.3]	unclassified	10.134492487792944	estA	estA
WP_072177127.1	WP_003180601.1	gene-ACSAL1_RS05770	-6.248678981085014	gene-ACZ0AN_RS06425	-3.6244983938427335	conserved_down	opp4C	oligopeptide ABC transporter permease	opp4C	oligopeptide ABC transporter permease	K02034	peptide/nickel transport system permease protein	transport	9.873177374927748	opp4C	opp4C
WP_014305189.1	WP_059230589.1	gene-ACSAL1_RS09710	6.246388519655356	gene-ACZ0AN_RS10995	3.5988982712916973	conserved_up	NA	N-acetyltransferase	NA	GNAT family protein	NA	NA	unclassified	9.845286790947053	gene-ACSAL1_RS09710	gene-ACSAL1 RS09710
WP_017418586.1	WP_023855487.1	gene-ACSAL1_RS18425	-7.831193880278129	gene-ACZ0AN_RS15450	-2.0062871553606927	conserved_down	bglS	beta-glucanase	bglS	beta-glucanase	K01216	licheninase [EC:3.2.1.73]	glycine_betaine_choline	9.837481035638822	bglS	bglS
WP_209388309.1	WP_463315700.1	gene-ACSAL1_RS09485	-6.366259052420619	gene-ACZ0AN_RS10635	-3.352403291410545	conserved_down	NA	non-ribosomal peptide synthetase	NA	non-ribosomal peptide synthetase	K15667	plipastatin/fengycin lipopeptide synthetase D	unclassified	9.718662343831165	gene-ACSAL1_RS09485	gene-ACSAL1 RS09485
WP_007613932.1	WP_025810730.1	gene-ACSAL1_RS16145	-3.1654835611560204	gene-ACZ0AN_RS18300	-6.504156675798009	conserved_down	NA	YveK family protein	NA	YveK family protein	K19420	protein tyrosine kinase modulator	unclassified	9.669640236954029	gene-ACSAL1_RS16145	gene-ACSAL1 RS16145
WP_014418377.1	WP_145645269.1	gene-ACSAL1_RS11740	2.714214466020032	gene-ACZ0AN_RS13295	6.946677963347863	conserved_up	comGB	competence type IV pilus assembly protein ComGB	comGB	competence type IV pilus assembly protein ComGB	K02244	competence protein ComGB	unclassified	9.660892429367895	comGB	comGB
WP_014305920.1	WP_003185659.1	gene-ACSAL1_RS16545	5.571561228131301	gene-ACZ0AN_RS18630	4.058028702998095	conserved_up	swrA	swarming motility protein SwrAA	swrA	swarming motility protein SwrAA	NA	NA	unclassified	9.629589931129395	swrA	swrA
WP_209388296.1	WP_044803292.1	gene-ACSAL1_RS09340	-3.931865011062726	gene-ACZ0AN_RS17980	-5.604333991616759	conserved_down	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	xynC	glucuronoarabinoxylan endo-1%2C4-beta-xylanase XynC	K15924	glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]	glycine_betaine_choline	9.536199002679485	xynC	xynC
WP_209387433.1	WP_023857118.1	gene-ACSAL1_RS11755	1.42731643666065	gene-ACZ0AN_RS19315	8.085635229238775	conserved_up	NA	hemolysin family protein	NA	hemolysin family protein	K03699	magnesium and cobalt exporter, CNNM family	unclassified	9.512951665899426	gene-ACSAL1_RS11755	gene-ACSAL1 RS11755
WP_007407578.1	WP_145654112.1	gene-ACSAL1_RS17230	-4.6499084786959255	gene-ACZ0AN_RS02960	-4.830026554918872	conserved_down	xynA	endo-1%2C4-beta-xylanase XynA	NA	glycoside hydrolase family 11 protein	NA	NA	glycine_betaine_choline	9.479935033614797	xynA	xynA
WP_003151973.1	WP_020452200.1	gene-ACSAL1_RS14950	-6.050197136585435	gene-ACZ0AN_RS13440	-3.2836979957405035	conserved_down	NA	uberolysin/carnocyclin family circular bacteriocin	NA	uberolysin/carnocyclin family circular bacteriocin	NA	NA	unclassified	9.333895132325939	gene-ACSAL1_RS14950	gene-ACSAL1 RS14950
WP_209387432.1	WP_025811157.1	gene-ACSAL1_RS11745	2.427555372990398	gene-ACZ0AN_RS13300	6.881199651120326	conserved_up	comGA	competence type IV pilus ATPase ComGA	comGA	competence type IV pilus ATPase ComGA	K02243	competence protein ComGA	unclassified	9.308755024110724	comGA	comGA
