ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	candidate_category
WP_003151340.1	WP_003185831.1	gene-ACSAL1_RS16875	4.035579409374109	gene-ACZ0AN_RS19040	2.6565147089535497	conserved_up	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	pgsC	poly-gamma-glutamate biosynthesis protein PgsC	transport
WP_007408966.1	WP_020450525.1	gene-ACSAL1_RS03815	3.199668833549508	gene-ACZ0AN_RS04095	7.526635975934568	conserved_up		anion permease		anion permease	transport
WP_209387828.1	WP_025810652.1	gene-ACSAL1_RS01050	1.8673134983556103	gene-ACZ0AN_RS19410	-4.862125190830675	opposite		ABC transporter substrate-binding protein		iron-hydroxamate ABC transporter substrate-binding protein	transport
WP_017418742.1	WP_103749408.1	gene-ACSAL1_RS17275	1.614248855014084	gene-ACZ0AN_RS19460	1.2083854037340924	conserved_up	fdhD	formate dehydrogenase accessory sulfurtransferase FdhD	fdhD	formate dehydrogenase accessory sulfurtransferase FdhD	transport
WP_022553802.1	WP_020450024.1	gene-ACSAL1_RS15820	2.302102677869517	gene-ACZ0AN_RS01635	-3.8434368399104457	opposite		lantibiotic protection ABC transporter ATP-binding protein		lantibiotic protection ABC transporter ATP-binding protein	transport
WP_014417273.1	WP_025811847.1	gene-ACSAL1_RS04705	-2.250070917556412	gene-ACZ0AN_RS05060	-2.8438962412306408	conserved_down		ABC transporter permease		ABC transporter permease	transport
WP_003152856.1	WP_020452280.1	gene-ACSAL1_RS12205	-1.0169068275837905	gene-ACZ0AN_RS13890	1.399818401763045	opposite	aroE	shikimate dehydrogenase	aroE	shikimate dehydrogenase	transport
WP_014418851.1	WP_020453400.1	gene-ACSAL1_RS15460	-3.839634925959488	gene-ACZ0AN_RS20305	-1.8350851572907096	conserved_down		MFS transporter		MFS transporter	transport
WP_007409044.1	WP_023855222.1	gene-ACSAL1_RS01525	3.223951336408112	gene-ACZ0AN_RS13530	2.1684184456343374	conserved_up		metal ABC transporter permease		metal ABC transporter permease	transport
WP_014416905.1	WP_020450171.1	gene-ACSAL1_RS01970	2.671573714662776	gene-ACZ0AN_RS02375	-2.115883318913803	opposite		iron chelate uptake ABC transporter family permease subunit		iron chelate uptake ABC transporter family permease subunit	transport
WP_014418969.1	WP_463315607.1	gene-ACSAL1_RS16380	-1.3063270818016426	gene-ACZ0AN_RS01165	-3.550119058831153	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_106080393.1	WP_144497729.1	gene-ACSAL1_RS05000	-2.9951889826002223	gene-ACZ0AN_RS05465	-2.8769909479587565	conserved_down	bmrD	multidrug resistance ABC transporter ATP-binding protein/permease BmrD	bmrD	multidrug resistance ABC transporter ATP-binding protein/permease BmrD	transport
WP_209388151.1	WP_023856766.1	gene-ACSAL1_RS06625	-7.251040954502982	gene-ACZ0AN_RS07265	-1.4431052967788969	conserved_down		peptide ABC transporter substrate-binding protein		peptide ABC transporter substrate-binding protein	transport
WP_209388154.1	WP_458110479.1	gene-ACSAL1_RS06645	-4.4446955036845655	gene-ACZ0AN_RS07285	-2.3859624899557863	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_007613980.1	WP_023856924.1	gene-ACSAL1_RS16235	1.9649828315535425	gene-ACZ0AN_RS20680	4.3957796717144335	conserved_up		MFS transporter		MFS transporter	transport
WP_209388240.1	WP_020451410.1	gene-ACSAL1_RS08370	4.747927561056087	gene-ACZ0AN_RS09070	1.0520172326355437	conserved_up		protein-glutamate methylesterase/protein-glutamine glutaminase		protein-glutamate methylesterase/protein-glutamine glutaminase	transport
WP_007410036.1	WP_020452927.1	gene-ACSAL1_RS15555	4.5809893873153245	gene-ACZ0AN_RS17690	2.407085786537572	conserved_up		amino acid permease		amino acid permease	transport
WP_007612991.1	WP_020452519.1	gene-ACSAL1_RS13160	-3.0268642333038507	gene-ACZ0AN_RS15250	-1.30229110200227	conserved_down	araQ	arabinooligosaccharides ABC transporter permease AraQ		carbohydrate ABC transporter permease	transport
WP_110085500.1	WP_020451902.1	gene-ACSAL1_RS10315	2.359979697845892	gene-ACZ0AN_RS11750	1.061756507421873	conserved_up	pbuX	xanthine permease PbuX		nucleobase:cation symporter-2 family protein	transport
WP_003156640.1	WP_020452159.1	gene-ACSAL1_RS01570	2.7062858342601133	gene-ACZ0AN_RS13205	2.3500364321204543	conserved_up	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	transport
WP_007407537.1	WP_206761243.1	gene-ACSAL1_RS16995	-1.4793208331478496	gene-ACZ0AN_RS19115	1.2364500784013857	opposite	chrS	chromate efflux transcriptional regulator ChrS		Lrp/AsnC family transcriptional regulator	transport
WP_077721760.1	WP_020452157.1	gene-ACSAL1_RS01580	1.8800441985345884	gene-ACZ0AN_RS13195	1.3902682595375233	conserved_up		glycine betaine ABC transporter substrate-binding protein		glycine betaine ABC transporter substrate-binding protein	transport
WP_029972872.1	WP_128822195.1	gene-ACSAL1_RS17530	2.812218569607233	gene-ACZ0AN_RS20370	-1.795460543469901	opposite		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_017417943.1	WP_149169593.1	gene-ACSAL1_RS09585	5.651574961305816	gene-ACZ0AN_RS10680	4.669124185727576	conserved_up	proB	glutamate 5-kinase	proB	glutamate 5-kinase	transport
WP_003156639.1	WP_020452158.1	gene-ACSAL1_RS01575	2.488416056033597	gene-ACZ0AN_RS13200	2.383794255565834	conserved_up	opuAB	glycine/proline betaine ABC transporter permease subunit OpuAB		ABC transporter permease	transport
WP_021494112.1	WP_145645272.1	gene-ACSAL1_RS15545	1.250527747499146	gene-ACZ0AN_RS13350	-2.4717615604789205	opposite		iron-hydroxamate ABC transporter substrate-binding protein		iron-hydroxamate ABC transporter substrate-binding protein	transport
WP_115941057.1	WP_216921597.1	gene-ACSAL1_RS15815	5.424529260102979	gene-ACZ0AN_RS01640	-3.521480606460165	opposite		lantibiotic immunity ABC transporter MutE/EpiE family permease subunit		lantibiotic immunity ABC transporter MutE/EpiE family permease subunit	transport
WP_159353720.1	WP_039072751.1	gene-ACSAL1_RS01150	-1.216529476565915	gene-ACZ0AN_RS10455	-1.5264984191872444	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_179156185.1	WP_065644469.1	gene-ACSAL1_RS01005	-3.997533034475594	gene-ACZ0AN_RS19595	4.4658135840322375	opposite		MFS transporter		MFS transporter	transport
WP_007613715.1	WP_043054605.1	gene-ACSAL1_RS15530	1.4955969217899057	gene-ACZ0AN_RS17675	-1.8904054174507483	opposite		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_014417626.1	WP_020451223.1	gene-ACSAL1_RS07295	-1.5745785433169384	gene-ACZ0AN_RS08020	-1.7186655527617674	conserved_down		ABC transporter permease		ABC transporter permease	transport
WP_022552527.1	WP_020449985.1	gene-ACSAL1_RS01380	-1.7554283572510758	gene-ACZ0AN_RS01435	1.540454334699312	opposite		alanine/glycine:cation symporter family protein		alanine/glycine:cation symporter family protein	transport
WP_209387944.1	WP_023857810.1	gene-ACSAL1_RS03080	1.4785084196194729	gene-ACZ0AN_RS03145	-1.2508822272224982	opposite		sugar porter family MFS transporter		sugar porter family MFS transporter	transport
WP_209387844.1	WP_023855832.1	gene-ACSAL1_RS01360	-6.226914219005029	gene-ACZ0AN_RS16055	-1.3796673265107144	conserved_down	gltP	glutamate-aspartate/proton symporter GltP	gltP	glutamate-aspartate/proton symporter GltP	transport
WP_007409113.1	WP_020450933.1	gene-ACSAL1_RS05795	-3.921841907758969	gene-ACZ0AN_RS06455	-1.6079683885118392	conserved_down	oppC	oligopeptide ABC transporter permease OppC		ABC transporter permease	transport
WP_038461736.1	WP_020453236.1	gene-ACSAL1_RS01040	1.584894154458904	gene-ACZ0AN_RS19400	-4.651143110324002	opposite	feuC	iron ABC transporter permease FeuC		FecCD family ABC transporter permease	transport
WP_209387324.1	WP_326250815.1	gene-ACSAL1_RS09575	-1.6949909249833006	gene-ACZ0AN_RS10745	1.867299186070413	opposite	gltB	glutamate synthase large subunit	gltB	glutamate synthase large subunit	transport
WP_209388095.1	WP_463315661.1	gene-ACSAL1_RS05750	-3.2319212688384127	gene-ACZ0AN_RS06405	-2.006509938426184	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_003155043.1	WP_020450932.1	gene-ACSAL1_RS05790	-3.1790385771956355	gene-ACZ0AN_RS06450	-1.6429227442146102	conserved_down		ABC transporter permease		ABC transporter permease	transport
WP_007610590.1	WP_035339430.1	gene-ACSAL1_RS05755	-4.793345432953291	gene-ACZ0AN_RS06410	-2.116962588425447	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_025649399.1	WP_020450006.1	gene-ACSAL1_RS17850	-2.098315925124401	gene-ACZ0AN_RS01545	-2.127580401155758	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_003153227.1	WP_020452110.1	gene-ACSAL1_RS11350	-1.222779099641015	gene-ACZ0AN_RS12940	-4.487047495418778	conserved_down	artQ	arginine ABC transporter permease ArtQ		amino acid ABC transporter permease	transport
WP_012118002.1	WP_023855214.1	gene-ACSAL1_RS11875	4.114923266158914	gene-ACZ0AN_RS13485	1.84851839890521	conserved_up		MFS transporter		MFS transporter	transport
WP_209387873.1	WP_003178866.1	gene-ACSAL1_RS01820	1.775706955335577	gene-ACZ0AN_RS02135	-3.700070754023856	opposite	tcyC	cystine ABC transporter ATP-binding protein TcyC		amino acid ABC transporter ATP-binding protein	transport
WP_021495283.1	WP_023855223.1	gene-ACSAL1_RS01520	2.199679859629698	gene-ACZ0AN_RS13535	2.18935534696902	conserved_up		metal ABC transporter ATP-binding protein		metal ABC transporter ATP-binding protein	transport
WP_209387608.1	WP_231005573.1	gene-ACSAL1_RS16095	-4.579344827486073	gene-ACZ0AN_RS18250	-7.399652832451961	conserved_down		MATE family efflux transporter		MATE family efflux transporter	transport
WP_014418595.1	WP_106070691.1	gene-ACSAL1_RS13170	-3.0662253823892667	gene-ACZ0AN_RS15260	-1.1466878572919523	conserved_down	araN	arabinooligosaccharides ABC transporter substrate-binding protein AraN		ABC transporter substrate-binding protein	transport
WP_209387563.1	WP_020452856.1	gene-ACSAL1_RS15105	-4.922949378293058	gene-ACZ0AN_RS17260	-2.6828607320238125	conserved_down		MFS transporter		MFS transporter	transport
WP_100261812.1	WP_023857575.1	gene-ACSAL1_RS09245	4.412620343984075	gene-ACZ0AN_RS10235	1.2055488663977123	conserved_up		alanine/glycine:cation symporter family protein		alanine/glycine:cation symporter family protein	transport
WP_014417297.1	WP_043054059.1	gene-ACSAL1_RS04885	2.8475721498146105	gene-ACZ0AN_RS02430	3.9548439060205247	conserved_up	bcaP	branched-chain amino acid transporter BcaP		APC family permease	transport
WP_014418918.1	WP_065643474.1	gene-ACSAL1_RS16020	2.458452532097712	gene-ACZ0AN_RS21290	2.559744906951197	conserved_up		GntP family permease		GntP family permease	transport
WP_015239156.1	WP_026580546.1	gene-ACSAL1_RS01965	3.676109461208915	gene-ACZ0AN_RS02370	-1.952788493149446	opposite		ABC transporter permease		ABC transporter permease	transport
WP_072177127.1	WP_003180601.1	gene-ACSAL1_RS05770	-6.248678981085014	gene-ACZ0AN_RS06425	-3.6244983938427335	conserved_down	opp4C	oligopeptide ABC transporter permease	opp4C	oligopeptide ABC transporter permease	transport
WP_003155039.1	WP_020450934.1	gene-ACSAL1_RS05800	-5.055819567047458	gene-ACZ0AN_RS06460	-1.6545414497964204	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_007609051.1	WP_020453237.1	gene-ACSAL1_RS01045	1.33983242682005	gene-ACZ0AN_RS19405	-4.61141002900477	opposite		FecCD family ABC transporter permease		FecCD family ABC transporter permease	transport
WP_072177665.1	WP_096748019.1	gene-ACSAL1_RS09280	-3.4148839884875617	gene-ACZ0AN_RS07085	-1.3241911366511074	conserved_down		MFS transporter		MFS transporter	transport
WP_115941249.1	WP_463315605.1	gene-ACSAL1_RS00455	1.279205898789943	gene-ACZ0AN_RS00470	1.0720781501968235	conserved_up	pabC	aminodeoxychorismate lyase	pabC	aminodeoxychorismate lyase	transport
WP_209388186.1	WP_026579780.1	gene-ACSAL1_RS07290	-1.9584188577027124	gene-ACZ0AN_RS08015	-1.4100612002764974	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_012118473.1	WP_020452989.1	gene-ACSAL1_RS15850	4.497788556616006	gene-ACZ0AN_RS18065	-1.012236443237037	opposite	opuCD	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCD		ABC transporter permease	transport
WP_015240174.1	WP_023855152.1	gene-ACSAL1_RS11355	-1.6246858234659882	gene-ACZ0AN_RS12945	-4.894316630369594	conserved_down	artP	arginine ABC transporter substrate-binding protein ArtP		transporter substrate-binding domain-containing protein	transport
WP_209388161.1	WP_463315675.1	gene-ACSAL1_RS06740	-3.2494489643743685	gene-ACZ0AN_RS07395	-2.4993873269668105	conserved_down	metE	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	metE	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	transport
WP_072177123.1	WP_011197760.1	gene-ACSAL1_RS05720	1.8716559730511635	gene-ACZ0AN_RS06370	1.1596396710157753	conserved_up		BMP family ABC transporter substrate-binding protein		BMP family ABC transporter substrate-binding protein	transport
WP_209388331.1	WP_025812022.1	gene-ACSAL1_RS06685	1.3726065950478916	gene-ACZ0AN_RS07345	-1.3375279001679892	opposite	proB	glutamate 5-kinase	proB	glutamate 5-kinase	transport
WP_003155121.1	WP_023856619.1	gene-ACSAL1_RS05530	-1.5086547851029737	gene-ACZ0AN_RS06130	5.532628383760056	opposite		MATE family efflux transporter		MATE family efflux transporter	transport
WP_014417243.1	WP_020450630.1	gene-ACSAL1_RS04380	1.0693866116782105	gene-ACZ0AN_RS04680	1.042321883053299	conserved_up		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_003155211.1	WP_065643331.1	gene-ACSAL1_RS05255	-1.6948389488596585	gene-ACZ0AN_RS05725	2.641215162549824	opposite	gltT	glutamate/proton symporter GltT		cation:dicarboxylate symporter family transporter	transport
WP_029973644.1	WP_020451957.1	gene-ACSAL1_RS10630	-1.5875557494646364	gene-ACZ0AN_RS12070	1.1529435444944471	opposite	aroC	chorismate synthase	aroC	chorismate synthase	transport
WP_209387349.1	WP_095291970.1	gene-ACSAL1_RS09860	1.1535796363686803	gene-ACZ0AN_RS11330	2.154910736439455	conserved_up		MATE family efflux transporter		MATE family efflux transporter	transport
WP_209388319.1	WP_023855607.1	gene-ACSAL1_RS03525	1.4358813523689604	gene-ACZ0AN_RS03825	-1.63659087644803	opposite		efflux RND transporter permease subunit		efflux RND transporter permease subunit	transport
WP_003152276.1	WP_023855837.1	gene-ACSAL1_RS14005	-2.5283029410378783	gene-ACZ0AN_RS16025	-2.118491656725669	conserved_down		ABC transporter ATP-binding protein		ATP-binding cassette domain-containing protein	transport
WP_007408914.1	WP_197407002.1	gene-ACSAL1_RS03500	5.365230475091405	gene-ACZ0AN_RS03785	3.515375190125015	conserved_up	putP	sodium/proline symporter PutP	putP	sodium/proline symporter PutP	transport
WP_007408816.1	WP_025810970.1	gene-ACSAL1_RS13985	1.4773183323332617	gene-ACZ0AN_RS16015	-2.6464088711482483	opposite		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein	transport
WP_209387755.1	WP_154059144.1	gene-ACSAL1_RS18670	3.834205055219856	gene-ACZ0AN_RS21140	-2.1778166778646613	opposite		iron-hydroxamate ABC transporter substrate-binding protein		iron-hydroxamate ABC transporter substrate-binding protein	transport
