ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product	candidate_category
WP_007407528.1	WP_023857148.1	gene-ACSAL1_RS16950	1.888507944479355	gene-ACZ0AN_RS19105	-1.1168655277979178	opposite	alsR	acetoin biosynthesis transcriptional regulator AlsR	alsR	acetoin biosynthesis transcriptional regulator AlsR	regulation
WP_014304649.1	WP_020452571.1	gene-ACSAL1_RS04215	1.4252616583793405	gene-ACZ0AN_RS15530	2.04064355755406	conserved_up		PadR family transcriptional regulator		PadR family transcriptional regulator	regulation
WP_003154237.1	WP_079289134.1	gene-ACSAL1_RS08330	1.228705730217023	gene-ACZ0AN_RS09030	2.18840402564041	conserved_up	fliZ	flagella biosynthesis regulatory protein FliZ	fliZ	flagella biosynthesis regulatory protein FliZ	regulation
WP_007407537.1	WP_206761243.1	gene-ACSAL1_RS16995	-1.4793208331478496	gene-ACZ0AN_RS19115	1.2364500784013857	opposite	chrS	chromate efflux transcriptional regulator ChrS		Lrp/AsnC family transcriptional regulator	regulation
WP_012118695.1	WP_025810624.1	gene-ACSAL1_RS17695	-5.000973144053073	gene-ACZ0AN_RS19810	-1.0626817659050756	conserved_down		RsfA family transcriptional regulator		RsfA family transcriptional regulator	regulation
WP_061861897.1	WP_101561566.1	gene-ACSAL1_RS02840	-3.4896773671917933	gene-ACZ0AN_RS03010	-2.8988960733055515	conserved_down		FMN-binding negative transcriptional regulator		FMN-binding negative transcriptional regulator	regulation
WP_017417961.1	WP_020451807.1	gene-ACSAL1_RS09745	-1.0584476815359367	gene-ACZ0AN_RS11240	8.30862106703416	opposite		TraR/DksA family transcriptional regulator		TraR/DksA family transcriptional regulator	regulation
WP_021495071.1	WP_249726879.1	gene-ACSAL1_RS02635	1.7491701675566806	gene-ACZ0AN_RS16925	1.8497473735124328	conserved_up		Rrf2 family transcriptional regulator		Rrf2 family transcriptional regulator	regulation
WP_003219701.1	WP_003185730.1	gene-ACSAL1_RS16680	-1.91182500742228	gene-ACZ0AN_RS18780	-1.2603698462659634	conserved_down	degU	two-component system response regulator DegU	degU	two-component system response regulator DegU	regulation
WP_003153079.1	WP_003183482.1	gene-ACSAL1_RS11770	-1.5866479266552576	gene-ACZ0AN_RS13315	8.443935586695828	opposite		Spx/MgsR family RNA polymerase-binding regulatory protein		Spx/MgsR family RNA polymerase-binding regulatory protein	regulation
WP_209387371.1	WP_212110765.1	gene-ACSAL1_RS10140	-1.6950813982752506	gene-ACZ0AN_RS11590	2.227831602679029	opposite		sigma 54-interacting transcriptional regulator		sigma 54-interacting transcriptional regulator	regulation
WP_209388049.1	WP_031305082.1	gene-ACSAL1_RS04820	-2.0122231610055774	gene-ACZ0AN_RS05220	1.9624323865136275	opposite		response regulator		response regulator	regulation
WP_209387991.1	WP_023857813.1	gene-ACSAL1_RS03845	1.0987673248915013	gene-ACZ0AN_RS03130	-1.3759518814303409	opposite		response regulator		response regulator	regulation
WP_014418922.1	WP_023856328.1	gene-ACSAL1_RS16055	-1.479830873793273	gene-ACZ0AN_RS18210	-1.627988018289776	conserved_down	lutR	L-lactate utilization/bacilysin biosynthesis transcriptional regulator LutR	lutR	L-lactate utilization/bacilysin biosynthesis transcriptional regulator LutR	regulation
WP_022553582.1	WP_041817178.1	gene-ACSAL1_RS05420	2.227516292779151	gene-ACZ0AN_RS05955	2.41684663796931	conserved_up		AbrB family transcriptional regulator		AbrB family transcriptional regulator	regulation
WP_007610911.1	WP_020451117.1	gene-ACSAL1_RS06800	-3.741726111267821	gene-ACZ0AN_RS07435	-1.0309016715157504	conserved_down		MarR family winged helix-turn-helix transcriptional regulator		MarR family winged helix-turn-helix transcriptional regulator	regulation
WP_017418904.1	WP_020450028.1	gene-ACSAL1_RS15800	1.0970166929722152	gene-ACZ0AN_RS01655	-1.789942965631553	opposite		sensor histidine kinase		sensor histidine kinase	regulation
WP_007408338.1	WP_020452154.1	gene-ACSAL1_RS11640	1.4275707177502726	gene-ACZ0AN_RS13180	1.0638931998373171	conserved_up	mntR	transcriptional regulator MntR	mntR	transcriptional regulator MntR	regulation
WP_014416828.1	WP_026579874.1	gene-ACSAL1_RS01450	6.58147508676219	gene-ACZ0AN_RS06855	1.7905927468398657	conserved_up	lmrA	transcriptional regulator LmrA		TetR/AcrR family transcriptional regulator	regulation
WP_209387697.1	WP_145654199.1	gene-ACSAL1_RS17745	1.5201554344966997	gene-ACZ0AN_RS06810	-2.544930644889519	opposite	cysL	cysJI operon transcriptional regulator CysL		LysR family transcriptional regulator	regulation
WP_014417627.1	WP_020451225.1	gene-ACSAL1_RS07300	3.505726323103006	gene-ACZ0AN_RS08030	1.1100978492429143	conserved_up		DeoR/GlpR family DNA-binding transcription regulator		DeoR/GlpR family DNA-binding transcription regulator	regulation
WP_012118670.1	WP_094777382.1	gene-ACSAL1_RS17490	1.2934524338336115	gene-ACZ0AN_RS19690	-3.159543353964161	opposite	spo0F	sporulation initiation phosphotransferase Spo0F		response regulator	regulation
WP_007407329.1	WP_020452967.1	gene-ACSAL1_RS06150	1.4858098818293932	gene-ACZ0AN_RS17920	-1.7708413937463243	opposite		MarR family transcriptional regulator		MarR family transcriptional regulator	regulation
WP_072177466.1	WP_219192392.1	gene-ACSAL1_RS15740	4.0107574628736655	gene-ACZ0AN_RS01660	1.6877375266949672	conserved_up		LysR family transcriptional regulator		LysR family transcriptional regulator	regulation
WP_004264660.1	WP_003178198.1	gene-ACSAL1_RS00310	-3.525556558158748	gene-ACZ0AN_RS00325	-2.134580376447448	conserved_down	spoVG	septation regulator SpoVG	spoVG	septation regulator SpoVG	regulation
WP_003155658.1	WP_003179703.1	gene-ACSAL1_RS03770	1.1579135192629872	gene-ACZ0AN_RS04060	-1.5438088138819006	opposite		MerR family transcriptional regulator		MerR family transcriptional regulator	regulation
WP_007611631.1	WP_003182143.1	gene-ACSAL1_RS08880	-1.1102491184189558	gene-ACZ0AN_RS09845	1.3127426231337245	opposite	glnR	transcriptional repressor GlnR		MerR family transcriptional regulator	regulation
WP_007408653.1	WP_020452765.1	gene-ACSAL1_RS14570	4.312788476026074	gene-ACZ0AN_RS16710	1.1976237374573375	conserved_up	yugI	S1 domain-containing post-transcriptional regulator GSP13	yugI	S1 domain-containing post-transcriptional regulator GSP13	regulation
WP_003154591.1	WP_020451209.1	gene-ACSAL1_RS07240	-2.025868183887637	gene-ACZ0AN_RS07950	-2.919646456464864	conserved_down	rok	transcriptional regulator Rok	rok	transcriptional regulator Rok	regulation
WP_209387625.1	WP_249726791.1	gene-ACSAL1_RS16420	3.210608356380664	gene-ACZ0AN_RS18520	3.590385817725823	conserved_up		ATP phosphoribosyltransferase regulatory subunit		ATP phosphoribosyltransferase regulatory subunit	regulation
WP_003154238.1	WP_003181796.1	gene-ACSAL1_RS08325	1.185366317199953	gene-ACZ0AN_RS09025	2.016815612741874	conserved_up	cheY	chemotaxis protein CheY		response regulator	regulation
WP_014418691.1	WP_003184565.1	gene-ACSAL1_RS14010	-2.208048855647418	gene-ACZ0AN_RS16030	-1.2215094438834206	conserved_down	ytrA	GntR family transcriptional regulator YtrA		GntR family transcriptional regulator	regulation
